locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_12630,0.019,0.059,0.033,0.026,0.019,0.041,0.063,0.033,0.033,0.011
R7A2020_12635,0.062,0.102,0.053,0.04,0.05,0.057,0.11,0.055,0.055,0.037
R7A2020_12640,0.022,0.073,0.015,0.044,0.007,0.007,0.051,0.029,0.015,0.015
R7A2020_12645,0.045,0.056,0.033,0.019,0.03,0.026,0.097,0.03,0.045,0.052
R7A2020_12650,0.068,0.085,0.047,0.04,0.035,0.066,0.111,0.061,0.054,0.045
R7A2020_12655,0.082,0.129,0.072,0.064,0.063,0.073,0.12,0.056,0.054,0.052
R7A2020_12660,0.05,0.077,0.031,0.037,0.028,0.022,0.059,0.046,0.022,0.019
R7A2020_12665,0.065,0.118,0.053,0.05,0.06,0.058,0.103,0.053,0.058,0.035
R7A2020_12670,0.033,0.042,0.006,0.024,0.018,0.03,0.036,0.024,0,0.018
R7A2020_12675,0.029,0.069,0.029,0.016,0.036,0.056,0.065,0.033,0.026,0.026
R7A2020_12680,0.076,0.13,0.075,0.064,0.06,0.06,0.105,0.055,0.047,0.044
R7A2020_12685,0.055,0.079,0.041,0.033,0.038,0.046,0.057,0.038,0.025,0.025
R7A2020_12690,0.06,0.091,0.059,0.049,0.047,0.067,0.114,0.059,0.064,0.04
R7A2020_12695,0.06,0.089,0.04,0.044,0.044,0.069,0.121,0.04,0.06,0.052
R7A2020_12700,0.058,0.113,0.058,0.046,0.057,0.06,0.122,0.064,0.053,0.051
R7A2020_12705,0.04,0.079,0.033,0.028,0.036,0.042,0.078,0.036,0.032,0.034
R7A2020_12710,0.057,0.087,0.042,0.045,0.04,0.052,0.087,0.046,0.045,0.031
R7A2020_12715,0.069,0.097,0.048,0.041,0.038,0.041,0.072,0.041,0.045,0.014
R7A2020_12720,0.043,0.072,0.034,0.024,0.034,0.047,0.079,0.042,0.027,0.031
R7A2020_12725,0.056,0.066,0.028,0.028,0.026,0.04,0.08,0.04,0.031,0.028
R7A2020_12730,0.063,0.087,0.051,0.045,0.037,0.051,0.1,0.047,0.044,0.04
R7A2020_12735,0.042,0.1,0.04,0.045,0.049,0.043,0.074,0.028,0.034,0.039
R7A2020_12740,0.058,0.097,0.047,0.048,0.035,0.051,0.082,0.035,0.032,0.037
R7A2020_12745,0.038,0.077,0.031,0.033,0.038,0.054,0.087,0.042,0.033,0.035
R7A2020_12750,0.055,0.097,0.051,0.042,0.041,0.062,0.086,0.043,0.043,0.037
R7A2020_12755,0.052,0.098,0.055,0.041,0.046,0.033,0.081,0.034,0.039,0.031
R7A2020_12760,0.057,0.109,0.052,0.049,0.047,0.046,0.096,0.049,0.048,0.038
R7A2020_12765,0.06,0.078,0.048,0.018,0.03,0.078,0.138,0.108,0.054,0.03
