locus_tag,WT.INPUT,WT.RHIZO,WT.GIFU,WT.NFR5,WT.COL0,NS.INPUT,NS.RHIZO,NS.GIFU,NS.NFR5,NS.COL0
R7A2020_00005,0,0,0,0,0,0,0,0,0,0
R7A2020_00010,0,0,0,0,0,0,0,0,0,0
R7A2020_00015,0.07,0.099,0.056,0.042,0.041,0.076,0.096,0.055,0.043,0.044
R7A2020_00020,0.089,0.112,0.067,0.064,0.036,0.08,0.105,0.044,0.045,0.044
R7A2020_00025,0.074,0.128,0.064,0.059,0.061,0.081,0.143,0.064,0.091,0.057
R7A2020_00030,0.092,0.143,0.07,0.063,0.066,0.076,0.129,0.053,0.06,0.067
R7A2020_00035,0.002,0,0,0,0,0,0,0,0,0
R7A2020_00040,0.063,0.117,0.048,0.051,0.039,0.063,0.111,0.051,0.048,0.033
R7A2020_00045,0.054,0.073,0.027,0.035,0.024,0.019,0.071,0.027,0.024,0.033
R7A2020_00050,0,0,0,0,0,0,0,0,0,0
R7A2020_00055,0,0,0,0,0,0,0,0,0,0
R7A2020_00060,0.073,0.085,0.035,0.026,0.038,0.075,0.095,0.032,0.039,0.042
R7A2020_00065,0.062,0.095,0.049,0.046,0.045,0.072,0.11,0.059,0.061,0.045
R7A2020_00070,0.066,0.107,0.053,0.059,0.047,0.078,0.122,0.063,0.066,0.049
R7A2020_00075,0.001,0,0,0,0,0.002,0.001,0,0,0.001
R7A2020_00080,0,0.009,0,0.004,0.009,0.004,0.009,0.004,0.004,0.004
R7A2020_00085,0.074,0.107,0.057,0.054,0.044,0.07,0.105,0.057,0.04,0.034
R7A2020_00090,0.059,0.073,0.03,0.044,0.028,0.05,0.101,0.047,0.052,0.036
R7A2020_00095,0.072,0.08,0.023,0.031,0.044,0.062,0.093,0.039,0.046,0.033
R7A2020_00100,0,0,0,0,0,0,0,0,0,0
R7A2020_00105,0.009,0.009,0.004,0.002,0.007,0.013,0.014,0.005,0.009,0.004
R7A2020_00110,0.007,0.006,0.003,0.003,0.004,0.008,0.014,0.005,0.01,0.007
R7A2020_00115,0.007,0.009,0.002,0.004,0.004,0.009,0.005,0.005,0.005,0.002
R7A2020_00120,0.078,0.057,0.043,0.021,0.028,0.035,0.085,0.035,0.043,0.035
R7A2020_00125,0.077,0.124,0.062,0.062,0.044,0.08,0.151,0.057,0.079,0.072
R7A2020_00130,0,0,0,0,0,0,0,0,0,0
R7A2020_00135,0.02,0.042,0.028,0.014,0.006,0.025,0.059,0.017,0.014,0.031
R7A2020_00140,0.049,0.069,0.028,0.025,0.026,0.048,0.074,0.025,0.026,0.033
R7A2020_00145,0.103,0.143,0.07,0.063,0.066,0.078,0.134,0.067,0.066,0.057
R7A2020_00150,0.093,0.127,0.069,0.066,0.057,0.102,0.139,0.077,0.068,0.056
R7A2020_00155,0.085,0.125,0.07,0.06,0.052,0.082,0.127,0.07,0.067,0.055
R7A2020_00160,0.093,0.101,0.052,0.055,0.045,0.104,0.134,0.067,0.077,0.05
R7A2020_00165,0.014,0.016,0.002,0.009,0.009,0.031,0.016,0.002,0.005,0.012
R7A2020_00170,0.091,0.125,0.072,0.06,0.058,0.102,0.153,0.074,0.083,0.057
R7A2020_00175,0.082,0.135,0.076,0.066,0.06,0.098,0.127,0.066,0.056,0.055
R7A2020_00180,0.059,0.081,0.038,0.037,0.04,0.072,0.104,0.053,0.048,0.043
R7A2020_00185,0.062,0.092,0.043,0.043,0.028,0.059,0.081,0.024,0.04,0.038
R7A2020_00190,0,0,0,0,0,0,0,0,0,0
R7A2020_00195,0.072,0.113,0.061,0.062,0.045,0.068,0.117,0.054,0.064,0.048
R7A2020_00200,0.062,0.107,0.059,0.047,0.056,0.063,0.1,0.041,0.057,0.041
R7A2020_00205,0.065,0.105,0.048,0.047,0.051,0.055,0.097,0.049,0.046,0.035
R7A2020_00210,0.068,0.099,0.051,0.056,0.034,0.07,0.123,0.06,0.056,0.063
R7A2020_00215,0.109,0.132,0.06,0.056,0.06,0.049,0.098,0.064,0.049,0.03
R7A2020_00220,0.057,0.094,0.044,0.048,0.036,0.057,0.084,0.041,0.038,0.033
R7A2020_00225,0.003,0.001,0,0,0.001,0.013,0.001,0,0.001,0
R7A2020_00230,0.089,0.144,0.083,0.068,0.073,0.098,0.162,0.09,0.08,0.062
R7A2020_00235,0.079,0.153,0.097,0.072,0.061,0.088,0.147,0.069,0.06,0.056
R7A2020_00240,0.105,0.157,0.079,0.07,0.093,0.111,0.164,0.081,0.095,0.064
R7A2020_00245,0.092,0.142,0.084,0.069,0.064,0.082,0.147,0.076,0.082,0.057
R7A2020_00250,0.06,0.113,0.05,0.057,0.052,0.072,0.11,0.033,0.06,0.039
R7A2020_00255,0.065,0.111,0.049,0.058,0.05,0.08,0.128,0.065,0.073,0.053
R7A2020_00260,0.068,0.089,0.042,0.046,0.045,0.073,0.115,0.06,0.047,0.05
R7A2020_00265,0.085,0.126,0.073,0.062,0.063,0.094,0.118,0.064,0.059,0.051
R7A2020_00270,0.072,0.09,0.041,0.043,0.041,0.071,0.117,0.062,0.054,0.049
R7A2020_00275,0.057,0.107,0.056,0.05,0.051,0.054,0.114,0.056,0.05,0.049
R7A2020_00280,0.12,0.165,0.095,0.068,0.079,0.112,0.167,0.085,0.078,0.07
R7A2020_00285,0.092,0.101,0.048,0.039,0.048,0.086,0.131,0.069,0.076,0.054
R7A2020_00290,0.049,0.075,0.037,0.049,0.037,0.08,0.086,0.026,0.046,0.052
R7A2020_00295,0.101,0.138,0.087,0.065,0.083,0.101,0.17,0.058,0.098,0.087
R7A2020_00300,0,0,0,0,0,0,0.001,0,0,0.001
R7A2020_00305,0,0,0,0,0,0,0,0,0,0
R7A2020_00310,0.084,0.146,0.081,0.07,0.062,0.073,0.148,0.076,0.073,0.053
R7A2020_00315,0.073,0.116,0.066,0.051,0.06,0.091,0.141,0.071,0.071,0.061
R7A2020_00320,0.073,0.084,0.046,0.031,0.031,0.057,0.073,0.046,0.031,0.038
R7A2020_00325,0.102,0.015,0.003,0.005,0.008,0.084,0.016,0.005,0,0.011
R7A2020_00330,0,0,0,0,0,0,0,0,0,0
R7A2020_00335,0.036,0.031,0.014,0.02,0.013,0.042,0.054,0.022,0.016,0.029
R7A2020_00340,0.038,0.069,0.038,0.021,0.035,0.05,0.071,0.031,0.036,0.028
R7A2020_00345,0.062,0.099,0.054,0.046,0.047,0.069,0.114,0.058,0.058,0.05
R7A2020_00350,0.027,0.032,0.011,0.013,0.012,0.036,0.045,0.019,0.014,0.019
R7A2020_00355,0.039,0.052,0.021,0.015,0.023,0.034,0.037,0.016,0.021,0.013
R7A2020_00360,0.045,0.055,0.025,0.02,0.02,0.032,0.056,0.026,0.025,0.019
R7A2020_00365,0.072,0.116,0.055,0.056,0.069,0.069,0.127,0.059,0.061,0.055
R7A2020_00370,0.069,0.115,0.06,0.053,0.039,0.078,0.124,0.048,0.053,0.058
R7A2020_00375,0.052,0.101,0.052,0.049,0.033,0.065,0.111,0.039,0.062,0.056
R7A2020_00380,0.079,0.138,0.083,0.056,0.051,0.097,0.136,0.06,0.064,0.064
R7A2020_00385,0.089,0.133,0.064,0.057,0.079,0.092,0.127,0.063,0.065,0.064
R7A2020_00390,0.055,0.102,0.052,0.041,0.05,0.043,0.089,0.032,0.045,0.037
R7A2020_00395,0.071,0.105,0.058,0.045,0.044,0.081,0.117,0.058,0.057,0.046
R7A2020_00400,0,0,0,0,0,0.015,0.015,0,0.015,0.015
R7A2020_00405,0.056,0.068,0.037,0.037,0.012,0.074,0.093,0.049,0.049,0.031
R7A2020_00410,0.07,0.123,0.059,0.059,0.04,0.061,0.155,0.064,0.08,0.056
R7A2020_00415,0.092,0.126,0.076,0.084,0.059,0.113,0.155,0.09,0.088,0.053
R7A2020_00420,0.036,0.043,0.017,0.021,0.026,0.056,0.058,0.034,0.032,0.026
R7A2020_00425,0.005,0.008,0.008,0.003,0,0.015,0.015,0.008,0.008,0
R7A2020_00430,0.097,0.144,0.093,0.072,0.081,0.093,0.131,0.055,0.051,0.068
R7A2020_00435,0.086,0.13,0.067,0.065,0.068,0.108,0.166,0.083,0.086,0.088
R7A2020_00440,0.085,0.135,0.071,0.068,0.069,0.095,0.148,0.071,0.083,0.066
R7A2020_00445,0.075,0.124,0.072,0.06,0.058,0.072,0.109,0.055,0.057,0.044
R7A2020_00450,0.061,0.112,0.057,0.045,0.051,0.063,0.099,0.043,0.049,0.042
R7A2020_00455,0.083,0.118,0.062,0.053,0.058,0.075,0.136,0.068,0.069,0.051
R7A2020_00460,0.071,0.119,0.056,0.044,0.054,0.078,0.08,0.024,0.046,0.032
R7A2020_00465,0.075,0.114,0.047,0.056,0.058,0.064,0.125,0.061,0.058,0.048
R7A2020_00470,0.074,0.114,0.046,0.058,0.056,0.058,0.11,0.055,0.052,0.046
R7A2020_00475,0.059,0.09,0.045,0.05,0.042,0.054,0.093,0.044,0.052,0.039
R7A2020_00480,0.047,0.106,0.049,0.038,0.051,0.055,0.095,0.043,0.043,0.045
R7A2020_00485,0.068,0.104,0.052,0.051,0.052,0.064,0.099,0.054,0.045,0.041
R7A2020_00490,0.072,0.093,0.049,0.043,0.047,0.059,0.119,0.066,0.045,0.057
R7A2020_00495,0.089,0.156,0.089,0.073,0.064,0.067,0.119,0.065,0.055,0.039
R7A2020_00500,0.094,0.142,0.059,0.066,0.073,0.072,0.119,0.041,0.063,0.055
R7A2020_00505,0.073,0.116,0.055,0.051,0.045,0.043,0.11,0.051,0.045,0.041
R7A2020_00510,0.062,0.097,0.044,0.051,0.044,0.063,0.101,0.047,0.05,0.039
R7A2020_00515,0.07,0.123,0.073,0.047,0.041,0.077,0.111,0.073,0.052,0.041
R7A2020_00520,0.072,0.12,0.062,0.047,0.062,0.085,0.135,0.077,0.057,0.06
R7A2020_00525,0.087,0.118,0.062,0.049,0.061,0.061,0.12,0.064,0.071,0.039
R7A2020_00530,0.074,0.109,0.052,0.052,0.052,0.07,0.137,0.07,0.071,0.052
R7A2020_00535,0.051,0.088,0.048,0.045,0.028,0.04,0.071,0.025,0.028,0.025
R7A2020_00540,0.063,0.102,0.056,0.045,0.038,0.07,0.119,0.048,0.063,0.047
R7A2020_00545,0.065,0.123,0.058,0.055,0.055,0.065,0.093,0.034,0.056,0.047
R7A2020_00550,0.096,0.125,0.076,0.057,0.057,0.087,0.153,0.068,0.087,0.056
R7A2020_00555,0.073,0.111,0.057,0.035,0.05,0.087,0.123,0.057,0.064,0.056
R7A2020_00560,0.071,0.099,0.055,0.044,0.045,0.064,0.109,0.046,0.048,0.041
R7A2020_00565,0.091,0.139,0.081,0.052,0.058,0.115,0.141,0.072,0.069,0.066
R7A2020_00570,0.078,0.112,0.071,0.064,0.047,0.085,0.137,0.075,0.075,0.064
R7A2020_00575,0.059,0.115,0.057,0.046,0.048,0.092,0.13,0.06,0.06,0.056
R7A2020_00580,0.055,0.089,0.048,0.037,0.04,0.056,0.1,0.045,0.049,0.038
R7A2020_00585,0.057,0.079,0.038,0.035,0.035,0.066,0.121,0.064,0.065,0.052
R7A2020_00590,0.083,0.121,0.06,0.06,0.061,0.116,0.146,0.08,0.081,0.061
R7A2020_00595,0.08,0.117,0.064,0.057,0.059,0.07,0.104,0.057,0.054,0.038
R7A2020_00600,0.122,0.159,0.086,0.07,0.075,0.101,0.156,0.088,0.086,0.067
R7A2020_00605,0.052,0.061,0.027,0.017,0.027,0.039,0.054,0.021,0.015,0.024
R7A2020_00610,0.055,0.058,0.027,0.026,0.023,0.071,0.054,0.019,0.018,0.032
R7A2020_00615,0.078,0.146,0.078,0.072,0.085,0.082,0.136,0.067,0.063,0.071
R7A2020_00620,0.075,0.135,0.06,0.067,0.057,0.07,0.142,0.06,0.072,0.05
R7A2020_00625,0.079,0.138,0.074,0.065,0.062,0.101,0.16,0.083,0.07,0.071
R7A2020_00630,0.056,0.112,0.067,0.059,0.05,0.077,0.113,0.063,0.066,0.044
R7A2020_00635,0.088,0.098,0.045,0.042,0.055,0.117,0.102,0.042,0.044,0.056
R7A2020_00640,0.052,0.07,0.037,0.037,0.034,0.06,0.128,0.073,0.052,0.044
R7A2020_00645,0.006,0.009,0.006,0.001,0.003,0.003,0.006,0.001,0.005,0.002
R7A2020_00650,0.096,0.115,0.068,0.062,0.04,0.056,0.105,0.062,0.062,0.05
R7A2020_00655,0.102,0.146,0.082,0.062,0.073,0.095,0.158,0.08,0.085,0.064
R7A2020_00660,0.089,0.142,0.086,0.069,0.068,0.073,0.152,0.073,0.064,0.069
R7A2020_00665,0.076,0.086,0.039,0.042,0.051,0.081,0.118,0.059,0.051,0.054
R7A2020_00670,0.06,0.106,0.057,0.055,0.044,0.082,0.127,0.072,0.073,0.052
R7A2020_00675,0.069,0.111,0.057,0.062,0.044,0.073,0.126,0.062,0.064,0.053
R7A2020_00680,0.057,0.078,0.035,0.033,0.041,0.064,0.092,0.04,0.044,0.034
R7A2020_00685,0.049,0.053,0.038,0.03,0.015,0.08,0.068,0.034,0.03,0.034
R7A2020_00690,0.063,0.104,0.051,0.051,0.045,0.067,0.122,0.073,0.061,0.043
R7A2020_00695,0.074,0.115,0.078,0.059,0.056,0.076,0.105,0.066,0.061,0.051
R7A2020_00700,0.081,0.113,0.068,0.052,0.049,0.078,0.084,0.045,0.036,0.042
R7A2020_00705,0.056,0.082,0.056,0.033,0.026,0.048,0.093,0.059,0.052,0.019
R7A2020_00710,0.072,0.108,0.058,0.047,0.05,0.067,0.108,0.049,0.059,0.043
R7A2020_00715,0.068,0.108,0.052,0.053,0.042,0.053,0.092,0.043,0.043,0.04
R7A2020_00720,0.052,0.08,0.046,0.028,0.038,0.057,0.104,0.035,0.055,0.039
R7A2020_00725,0.081,0.126,0.067,0.063,0.061,0.059,0.118,0.051,0.059,0.053
R7A2020_00730,0.079,0.124,0.058,0.059,0.05,0.091,0.145,0.078,0.067,0.06
R7A2020_00735,0.056,0.092,0.033,0.043,0.044,0.04,0.079,0.038,0.047,0.04
R7A2020_00740,0.078,0.097,0.049,0.039,0.049,0.061,0.127,0.071,0.046,0.051
R7A2020_00745,0.078,0.101,0.056,0.049,0.039,0.067,0.089,0.04,0.04,0.039
R7A2020_00750,0.061,0.125,0.074,0.046,0.061,0.074,0.129,0.055,0.065,0.049
R7A2020_00755,0.078,0.124,0.071,0.053,0.065,0.067,0.106,0.043,0.045,0.047
R7A2020_00760,0.056,0.139,0.077,0.063,0.05,0.073,0.125,0.063,0.057,0.063
R7A2020_00765,0.078,0.125,0.067,0.055,0.06,0.084,0.125,0.06,0.073,0.048
R7A2020_00770,0.066,0.115,0.059,0.053,0.044,0.053,0.103,0.053,0.044,0.044
R7A2020_00775,0.065,0.119,0.046,0.061,0.065,0.058,0.106,0.052,0.053,0.05
R7A2020_00780,0.069,0.102,0.055,0.046,0.041,0.06,0.102,0.05,0.048,0.039
R7A2020_00785,0.083,0.119,0.072,0.037,0.05,0.063,0.113,0.048,0.054,0.063
R7A2020_00790,0.065,0.111,0.051,0.056,0.046,0.068,0.112,0.053,0.051,0.052
R7A2020_00795,0.025,0.022,0.015,0.007,0.002,0.025,0.022,0.005,0.007,0.015
R7A2020_00800,0.083,0.118,0.071,0.055,0.052,0.083,0.128,0.059,0.065,0.057
R7A2020_00805,0.096,0.112,0.064,0.056,0.046,0.083,0.145,0.069,0.067,0.058
R7A2020_00810,0.086,0.123,0.07,0.059,0.053,0.07,0.135,0.068,0.066,0.049
R7A2020_00815,0.078,0.097,0.036,0.037,0.047,0.076,0.083,0.036,0.034,0.038
R7A2020_00820,0.051,0.075,0.041,0.024,0.037,0.058,0.085,0.054,0.034,0.027
R7A2020_00825,0.098,0.155,0.084,0.072,0.062,0.108,0.155,0.076,0.088,0.07
R7A2020_00830,0.092,0.137,0.075,0.057,0.075,0.057,0.11,0.06,0.052,0.032
R7A2020_00835,0.024,0.062,0.022,0.025,0.029,0.038,0.055,0.024,0.018,0.02
R7A2020_00840,0.072,0.111,0.051,0.064,0.053,0.075,0.121,0.064,0.068,0.051
R7A2020_00845,0.063,0.077,0.047,0.028,0.051,0.061,0.087,0.04,0.057,0.043
R7A2020_00850,0.08,0.128,0.062,0.065,0.058,0.075,0.135,0.067,0.064,0.055
R7A2020_00855,0.074,0.126,0.068,0.058,0.065,0.083,0.128,0.062,0.072,0.05
R7A2020_00860,0.087,0.116,0.062,0.05,0.053,0.072,0.122,0.063,0.048,0.051
R7A2020_00865,0.042,0.085,0.028,0.047,0.019,0.042,0.08,0.052,0.033,0.014
R7A2020_00870,0.062,0.087,0.04,0.042,0.03,0.06,0.107,0.05,0.047,0.057
R7A2020_00875,0,0.002,0,0,0.002,0.002,0.01,0.002,0.01,0
R7A2020_00880,0.071,0.089,0.048,0.046,0.046,0.084,0.114,0.055,0.073,0.05
R7A2020_00885,0.08,0.128,0.077,0.044,0.071,0.085,0.124,0.066,0.063,0.058
R7A2020_00890,0.067,0.102,0.057,0.037,0.047,0.06,0.094,0.057,0.047,0.038
R7A2020_00895,0.072,0.104,0.052,0.05,0.049,0.079,0.138,0.065,0.067,0.065
R7A2020_00900,0.121,0.156,0.094,0.07,0.07,0.113,0.165,0.081,0.081,0.081
R7A2020_00905,0.085,0.13,0.063,0.046,0.066,0.057,0.076,0.036,0.03,0.028
R7A2020_00910,0.093,0.141,0.078,0.073,0.058,0.098,0.151,0.09,0.066,0.061
R7A2020_00915,0.078,0.116,0.063,0.057,0.054,0.094,0.109,0.058,0.051,0.049
R7A2020_00920,0.09,0.138,0.077,0.062,0.069,0.091,0.144,0.068,0.074,0.068
R7A2020_00925,0.084,0.123,0.067,0.062,0.062,0.093,0.143,0.078,0.08,0.067
R7A2020_00930,0.104,0.147,0.076,0.071,0.067,0.092,0.158,0.081,0.083,0.064
R7A2020_00935,0.093,0.128,0.069,0.06,0.051,0.069,0.093,0.033,0.048,0.054
R7A2020_00940,0.089,0.133,0.076,0.064,0.059,0.096,0.131,0.068,0.068,0.055
R7A2020_00945,0.053,0.082,0.046,0.038,0.032,0.04,0.09,0.04,0.041,0.034
R7A2020_00950,0.034,0.017,0.005,0.004,0.009,0.035,0.018,0.006,0.005,0.008
R7A2020_00955,0,0,0,0,0,0,0,0,0,0
R7A2020_00960,0.04,0.073,0.044,0.031,0.031,0.06,0.086,0.042,0.031,0.038
R7A2020_00965,0.077,0.093,0.046,0.042,0.045,0.049,0.093,0.049,0.043,0.03
R7A2020_00970,0,0,0,0,0,0,0,0,0,0
R7A2020_00975,0.093,0.143,0.081,0.069,0.069,0.095,0.174,0.088,0.093,0.076
R7A2020_00980,0.008,0.014,0.008,0.006,0.004,0.008,0.031,0.002,0.012,0.019
R7A2020_00985,0.053,0.072,0.044,0.03,0.028,0.049,0.076,0.032,0.04,0.04
R7A2020_00990,0.05,0.089,0.042,0.031,0.031,0.072,0.1,0.042,0.042,0.044
R7A2020_00995,0.07,0.099,0.056,0.06,0.028,0.077,0.106,0.063,0.053,0.046
R7A2020_01000,0.049,0.09,0.056,0.028,0.028,0.042,0.069,0.035,0.007,0.035
R7A2020_01005,0.034,0.047,0.02,0.027,0.007,0.02,0.04,0,0.013,0.02
R7A2020_01010,0.045,0.087,0.042,0.026,0.042,0.073,0.087,0.042,0.031,0.021
R7A2020_01015,0.055,0.084,0.043,0.039,0.039,0.064,0.111,0.041,0.059,0.042
R7A2020_01020,0.022,0.017,0.009,0.002,0.011,0.011,0.026,0.009,0.011,0.009
R7A2020_01025,0.064,0.095,0.049,0.045,0.036,0.066,0.113,0.064,0.054,0.04
R7A2020_01030,0.077,0.123,0.059,0.062,0.055,0.066,0.123,0.058,0.056,0.046
R7A2020_01035,0.05,0.083,0.042,0.036,0.036,0.042,0.097,0.041,0.042,0.033
R7A2020_01040,0.073,0.092,0.044,0.039,0.036,0.056,0.095,0.053,0.048,0.029
R7A2020_01045,0.052,0.083,0.037,0.034,0.036,0.058,0.091,0.041,0.046,0.039
R7A2020_01050,0.056,0.09,0.051,0.036,0.035,0.05,0.087,0.045,0.055,0.015
R7A2020_01055,0.048,0.073,0.036,0.031,0.028,0.049,0.082,0.033,0.04,0.043
R7A2020_01060,0.088,0.158,0.07,0.058,0.041,0.094,0.14,0.047,0.111,0.029
R7A2020_01065,0.058,0.112,0.053,0.048,0.051,0.053,0.094,0.04,0.048,0.032
R7A2020_01070,0.056,0.093,0.053,0.044,0.031,0.068,0.111,0.054,0.048,0.052
R7A2020_01075,0.072,0.098,0.049,0.045,0.044,0.064,0.106,0.049,0.044,0.036
R7A2020_01080,0.074,0.119,0.064,0.057,0.062,0.058,0.121,0.068,0.057,0.055
R7A2020_01085,0.081,0.078,0.033,0.03,0.039,0.057,0.102,0.045,0.051,0.039
R7A2020_01090,0.074,0.12,0.074,0.058,0.062,0.109,0.124,0.066,0.058,0.043
R7A2020_01095,0.09,0.129,0.079,0.058,0.063,0.082,0.141,0.073,0.068,0.057
R7A2020_01100,0.044,0.077,0.036,0.03,0.039,0.052,0.08,0.03,0.028,0.039
R7A2020_01105,0.061,0.094,0.048,0.035,0.04,0.057,0.096,0.042,0.046,0.038
R7A2020_01110,0.06,0.106,0.044,0.046,0.049,0.065,0.109,0.046,0.055,0.042
R7A2020_01115,0.079,0.14,0.065,0.064,0.06,0.094,0.148,0.08,0.08,0.062
R7A2020_01120,0.098,0.16,0.072,0.078,0.069,0.078,0.148,0.063,0.078,0.061
R7A2020_01125,0.031,0.06,0.021,0.026,0.029,0.029,0.079,0.029,0.031,0.037
R7A2020_01130,0.045,0.078,0.039,0.033,0.033,0.066,0.094,0.051,0.041,0.035
R7A2020_01135,0.056,0.073,0.042,0.031,0.028,0.067,0.089,0.047,0.044,0.041
R7A2020_01140,0.067,0.115,0.065,0.046,0.05,0.073,0.131,0.061,0.067,0.058
R7A2020_01145,0.07,0.116,0.059,0.049,0.051,0.067,0.099,0.046,0.055,0.037
R7A2020_01150,0.004,0.002,0,0.001,0,0.003,0.002,0,0.001,0.001
R7A2020_01155,0.043,0.063,0.034,0.024,0.025,0.052,0.064,0.039,0.021,0.026
R7A2020_01160,0.004,0.001,0,0.001,0,0.002,0,0,0,0
R7A2020_01165,0.002,0.005,0.002,0.001,0.001,0.001,0.002,0,0.001,0.001
R7A2020_01170,0.05,0.084,0.034,0.038,0.034,0.045,0.088,0.038,0.042,0.045
R7A2020_01175,0.001,0.005,0.002,0.001,0.003,0.001,0.001,0,0,0.001
R7A2020_01180,0,0,0,0,0,0.001,0.001,0.001,0,0
R7A2020_01185,0.062,0.105,0.049,0.045,0.041,0.087,0.106,0.044,0.051,0.049
R7A2020_01190,0.007,0.007,0.001,0.001,0.004,0.007,0.004,0.002,0.002,0.001
R7A2020_01195,0.057,0.073,0.034,0.026,0.042,0.047,0.094,0.05,0.034,0.029
R7A2020_01200,0.059,0.12,0.053,0.063,0.063,0.093,0.131,0.069,0.07,0.055
R7A2020_01205,0.007,0.004,0.001,0.004,0,0.013,0.003,0,0.001,0.002
R7A2020_01210,0.016,0.013,0.009,0.001,0.004,0.015,0.013,0.005,0.004,0.007
R7A2020_01215,0.085,0.126,0.056,0.061,0.053,0.091,0.14,0.047,0.07,0.064
R7A2020_01220,0.038,0.054,0.025,0.015,0.022,0.034,0.04,0.016,0.006,0.021
R7A2020_01225,0.111,0.145,0.079,0.055,0.072,0.107,0.141,0.067,0.083,0.055
R7A2020_01230,0.038,0.092,0.053,0.038,0.023,0.046,0.084,0.046,0.031,0.046
R7A2020_01235,0.075,0.125,0.078,0.043,0.051,0.051,0.075,0.047,0.051,0.02
R7A2020_01240,0.093,0.157,0.098,0.052,0.084,0.132,0.186,0.105,0.089,0.089
R7A2020_01245,0.088,0.117,0.066,0.06,0.055,0.085,0.156,0.071,0.082,0.067
R7A2020_01250,0.075,0.109,0.059,0.059,0.049,0.073,0.117,0.065,0.06,0.039
R7A2020_01255,0.07,0.105,0.054,0.05,0.049,0.076,0.123,0.058,0.053,0.052
R7A2020_01260,0.025,0.042,0.013,0.021,0.021,0.042,0.059,0.008,0.025,0.03
R7A2020_01265,0.042,0.059,0.024,0.04,0.024,0.035,0.064,0.033,0.028,0.021
R7A2020_01270,0.001,0.001,0,0.001,0,0.001,0.001,0,0,0.001
R7A2020_01275,0.002,0,0,0,0,0.001,0,0,0,0
R7A2020_01280,0.088,0.121,0.061,0.057,0.055,0.081,0.105,0.071,0.045,0.05
R7A2020_01285,0.07,0.092,0.046,0.036,0.036,0.039,0.087,0.043,0.034,0.029
R7A2020_01290,0.07,0.086,0.042,0.043,0.041,0.059,0.103,0.049,0.051,0.036
R7A2020_01295,0.083,0.124,0.062,0.065,0.06,0.076,0.129,0.054,0.072,0.056
R7A2020_01300,0.064,0.093,0.047,0.043,0.053,0.055,0.101,0.056,0.047,0.044
R7A2020_01305,0.08,0.121,0.056,0.06,0.063,0.075,0.127,0.061,0.064,0.052
R7A2020_01310,0.062,0.105,0.057,0.052,0.041,0.055,0.099,0.047,0.051,0.037
R7A2020_01315,0.067,0.113,0.065,0.057,0.043,0.069,0.121,0.059,0.061,0.047
R7A2020_01320,0.063,0.104,0.046,0.051,0.056,0.059,0.102,0.045,0.047,0.053
R7A2020_01325,0.071,0.116,0.049,0.049,0.063,0.055,0.138,0.065,0.073,0.059
R7A2020_01330,0.065,0.109,0.069,0.049,0.046,0.065,0.11,0.051,0.056,0.039
R7A2020_01335,0.061,0.078,0.041,0.034,0.023,0.075,0.082,0.037,0.037,0.025
R7A2020_01340,0.064,0.099,0.051,0.043,0.046,0.065,0.096,0.044,0.043,0.041
R7A2020_01345,0.057,0.118,0.053,0.075,0.048,0.057,0.123,0.057,0.061,0.031
R7A2020_01350,0.083,0.124,0.073,0.062,0.059,0.076,0.13,0.072,0.066,0.054
R7A2020_01355,0.095,0.123,0.071,0.061,0.05,0.078,0.158,0.071,0.069,0.056
R7A2020_01360,0.085,0.123,0.077,0.07,0.041,0.089,0.14,0.077,0.065,0.065
R7A2020_01365,0.103,0.134,0.055,0.061,0.059,0.088,0.111,0.052,0.055,0.046
R7A2020_01370,0.071,0.102,0.049,0.048,0.046,0.055,0.111,0.059,0.057,0.039
R7A2020_01375,0.079,0.116,0.063,0.064,0.061,0.077,0.125,0.057,0.055,0.063
R7A2020_01380,0.084,0.124,0.061,0.061,0.064,0.076,0.125,0.056,0.06,0.05
R7A2020_01385,0.053,0.096,0.052,0.038,0.04,0.059,0.111,0.052,0.05,0.042
R7A2020_01390,0.107,0.164,0.096,0.077,0.088,0.101,0.156,0.096,0.086,0.069
R7A2020_01395,0.089,0.144,0.077,0.061,0.076,0.105,0.132,0.074,0.066,0.061
R7A2020_01400,0.054,0.103,0.062,0.045,0.045,0.06,0.109,0.053,0.058,0.046
R7A2020_01405,0.086,0.134,0.068,0.072,0.074,0.086,0.141,0.074,0.076,0.071
R7A2020_01410,0.079,0.132,0.067,0.058,0.068,0.057,0.111,0.054,0.064,0.044
R7A2020_01415,0,0,0,0,0,0,0,0,0,0
R7A2020_01420,0.012,0.012,0.003,0.003,0.006,0.015,0.009,0.003,0.003,0.006
R7A2020_01425,0,0,0,0,0,0,0,0,0,0
R7A2020_01430,0.036,0.047,0.018,0.018,0.018,0.047,0.067,0.025,0.032,0.025
R7A2020_01435,0.001,0.001,0,0,0.001,0.001,0.001,0.001,0.001,0
R7A2020_01440,0.093,0.12,0.067,0.067,0.056,0.074,0.112,0.055,0.054,0.047
R7A2020_01445,0.104,0.151,0.088,0.068,0.081,0.095,0.149,0.083,0.085,0.066
R7A2020_01450,0.118,0.176,0.093,0.1,0.093,0.116,0.197,0.117,0.109,0.087
R7A2020_01455,0.097,0.139,0.083,0.056,0.083,0.096,0.15,0.082,0.089,0.075
R7A2020_01460,0.104,0.125,0.071,0.061,0.051,0.096,0.153,0.085,0.083,0.066
