locus_tag,INPUT,RHIZO,GIFU,NFR5,COL0,ES,TY,GR,state
R7A2020_30325,0.035,0.056,0.021,0.021,0.021,0.095,0.034,0.023,NE
R7A2020_30330,0.039,0.047,0.026,0.017,0.021,0.108,0.044,0.021,NE
R7A2020_30335,0.038,0.054,0.026,0.022,0.021,0.108,0.049,0.026,NE
R7A2020_30340,0.004,0.011,0.004,0.004,0.004,0.034,0.023,0.011,NE
R7A2020_30345,0.009,0.02,0.011,0.007,0.009,0.058,0.024,0.022,NE
R7A2020_30350,0.036,0.037,0.02,0.016,0.015,0.104,0.046,0.024,NE
R7A2020_30355,0.029,0.05,0.031,0.018,0.018,0.102,0.034,0.042,NE
R7A2020_30360,0.039,0.082,0.039,0.046,0.02,0.098,0.046,0.023,NE
R7A2020_30365,0.041,0.064,0.032,0.027,0.029,0.116,0.05,0.028,NE
R7A2020_30370,0.044,0.106,0.044,0.044,0.071,0.097,0.027,0.035,NE
R7A2020_30375,0.02,0.005,0.001,0.003,0.001,0.069,0.029,0.019,NE
R7A2020_30380,0.006,0.015,0.008,0.005,0.002,0.043,0.023,0.015,NE
R7A2020_30385,0,0,0,0,0,0.013,0.007,0,ICE-ES
R7A2020_30390,0.021,0.028,0.015,0.008,0.01,0.077,0.039,0.015,NE
R7A2020_30395,0.025,0.034,0.016,0.016,0.018,0.082,0.04,0.024,NE
R7A2020_30400,0.024,0.032,0.015,0.01,0.009,0.078,0.022,0.029,NE
R7A2020_30405,0.025,0.033,0.015,0.014,0.012,0.066,0.027,0.017,NE
R7A2020_30410,0.01,0.019,0.008,0.005,0.006,0.054,0.021,0.023,NE
R7A2020_30415,0.01,0.021,0.01,0.006,0.008,0.045,0.021,0.016,NE
R7A2020_30420,0.022,0.022,0.017,0,0.006,0.083,0.031,0.017,NE
R7A2020_30425,0.002,0.005,0.002,0.002,0.002,0.028,0.017,0.007,ICE-ES
R7A2020_30430,0.004,0.019,0.008,0.007,0.008,0.043,0.025,0.011,NE
R7A2020_30435,0.008,0.011,0.003,0.003,0.005,0.032,0.015,0.01,NE
R7A2020_30440,0.012,0.04,0.016,0.017,0.016,0.072,0.029,0.025,NE
R7A2020_30445,0.007,0.009,0.004,0.002,0.006,0.041,0.015,0.021,NE
R7A2020_30450,0.007,0.023,0.012,0.01,0.003,0.049,0.023,0.017,NE
R7A2020_30455,0.006,0.014,0.004,0.005,0.004,0.043,0.019,0.014,NE
R7A2020_30460,0.007,0.007,0.003,0.002,0.002,0.035,0.022,0.005,NE
R7A2020_30465,0.005,0.005,0.002,0.003,0,0.014,0.005,0.003,ICE-ES
R7A2020_30470,0.018,0.018,0.012,0.006,0.006,0.037,0.018,0.006,NE
R7A2020_30475,0.015,0.018,0.006,0.007,0.008,0.059,0.026,0.017,NE
R7A2020_30480,0.008,0.016,0.007,0.005,0.008,0.042,0.016,0.016,NE
R7A2020_30485,0.008,0.01,0.005,0.004,0.001,0.027,0.015,0.004,ICE-ES
R7A2020_30490,0.018,0.037,0.018,0.01,0.01,0.055,0.019,0.016,NE
R7A2020_30495,0.03,0.054,0.027,0.016,0.024,0.09,0.034,0.026,NE
R7A2020_30500,0.034,0.052,0.024,0.021,0.023,0.098,0.043,0.024,NE
R7A2020_30505,0.022,0.041,0.018,0.018,0.012,0.074,0.037,0.027,NE
R7A2020_30510,0.024,0.039,0.019,0.019,0.012,0.087,0.047,0.028,NE
R7A2020_30515,0.054,0.076,0.035,0.035,0.034,0.136,0.055,0.03,NE
R7A2020_30520,0.024,0.068,0.017,0.031,0.026,0.109,0.044,0.022,NE
R7A2020_30525,0.033,0.048,0.033,0.019,0.019,0.105,0.048,0.019,NE
R7A2020_30530,0.046,0.068,0.03,0.025,0.036,0.131,0.041,0.042,NE
R7A2020_30535,0.029,0.058,0.012,0.035,0.023,0.082,0.053,0.023,NE
R7A2020_30540,0.028,0.045,0.019,0.015,0.017,0.115,0.064,0.026,NE
R7A2020_30545,0.021,0.036,0.015,0.016,0.012,0.072,0.032,0.022,NE
R7A2020_30550,0.022,0.052,0.02,0.02,0.018,0.083,0.029,0.029,NE
R7A2020_30555,0.04,0.063,0.033,0.026,0.029,0.154,0.044,0.048,NE
R7A2020_30560,0.034,0.075,0.034,0.029,0.029,0.08,0.017,0.029,NE
R7A2020_30565,0.041,0.064,0.032,0.029,0.023,0.115,0.042,0.03,NE
R7A2020_30570,0.007,0.037,0.015,0.015,0.015,0.09,0.06,0.022,NE
R7A2020_30575,0.036,0.073,0.033,0.027,0.029,0.115,0.045,0.037,NE
R7A2020_30580,0.028,0.08,0.043,0.024,0.037,0.119,0.067,0.024,NE
R7A2020_30585,0.039,0.066,0.036,0.022,0.018,0.126,0.054,0.029,NE
R7A2020_30590,0.035,0.063,0.032,0.023,0.029,0.117,0.049,0.035,NE
R7A2020_30595,0.031,0.043,0.013,0.017,0.017,0.086,0.032,0.023,NE
R7A2020_30600,0.012,0.02,0.012,0.008,0.004,0.082,0.055,0.016,NE
R7A2020_30605,0.017,0.026,0.011,0.011,0.007,0.067,0.026,0.025,NE
R7A2020_30610,0.021,0.042,0.019,0.016,0.017,0.086,0.035,0.021,NE
R7A2020_30615,0.006,0.036,0.012,0.018,0.006,0.042,0.024,0.012,NE
R7A2020_30620,0.007,0.043,0.004,0.018,0.018,0.054,0.022,0.025,NE
R7A2020_30625,0.033,0.038,0.005,0.027,0.005,0.099,0.06,0.022,NE
R7A2020_30630,0.021,0.039,0.017,0.014,0.017,0.084,0.045,0.026,NE
R7A2020_30635,0.011,0.022,0.008,0.011,0.008,0.045,0.024,0.012,NE
R7A2020_30640,0.011,0.015,0.003,0.005,0.007,0.032,0.011,0.006,NE
R7A2020_30645,0.011,0.026,0.018,0.01,0.01,0.053,0.025,0.025,NE
R7A2020_30650,0.034,0.062,0.022,0.025,0.031,0.115,0.043,0.034,NE
R7A2020_30655,0.035,0.063,0.031,0.024,0.027,0.113,0.047,0.038,NE
R7A2020_30660,0.042,0.021,0.014,0.007,0.014,0.118,0.028,0.035,NE
R7A2020_30665,0.048,0.043,0.03,0.013,0.013,0.13,0.03,0.022,NE
R7A2020_30670,0.037,0.048,0.033,0.011,0.015,0.108,0.044,0.031,NE
R7A2020_30675,0.037,0.067,0.031,0.025,0.024,0.104,0.042,0.024,NE
R7A2020_30680,0.033,0.068,0.033,0.03,0.027,0.104,0.044,0.027,NE
R7A2020_30685,0.03,0.046,0.025,0.016,0.016,0.098,0.039,0.03,NE
R7A2020_30690,0.027,0.061,0.034,0.019,0.023,0.1,0.042,0.031,NE
R7A2020_30695,0.034,0.072,0.033,0.028,0.03,0.103,0.039,0.024,NE
R7A2020_30700,0.047,0.066,0.03,0.032,0.03,0.115,0.046,0.028,NE
R7A2020_30705,0.051,0.094,0.043,0.039,0.05,0.145,0.063,0.026,NE
R7A2020_30710,0.055,0.095,0.052,0.048,0.04,0.155,0.055,0.043,NE
R7A2020_30715,0.058,0.114,0.058,0.047,0.044,0.153,0.066,0.05,NE
R7A2020_30720,0.053,0.103,0.049,0.044,0.055,0.132,0.052,0.035,NE
R7A2020_30725,0.027,0.064,0.054,0.03,0.027,0.101,0.051,0.04,NE
R7A2020_30730,0.06,0.091,0.048,0.041,0.039,0.15,0.059,0.038,NE
R7A2020_30735,0.066,0.114,0.056,0.063,0.045,0.172,0.062,0.042,NE
R7A2020_30740,0.066,0.105,0.05,0.048,0.05,0.162,0.042,0.035,NE
R7A2020_30745,0.058,0.1,0.05,0.044,0.039,0.16,0.058,0.045,NE
R7A2020_30750,0.053,0.104,0.051,0.051,0.036,0.148,0.055,0.041,NE
R7A2020_30755,0.054,0.07,0.034,0.026,0.028,0.137,0.044,0.028,NE
R7A2020_30760,0.055,0.043,0.018,0.024,0.012,0.116,0.037,0.024,NE
R7A2020_30765,0.043,0.055,0.02,0.028,0.024,0.091,0.035,0.016,NE
R7A2020_30770,0.069,0.125,0.069,0.064,0.057,0.174,0.063,0.041,NE
R7A2020_30775,0.052,0.112,0.069,0.052,0.043,0.112,0.034,0.009,NE
R7A2020_30780,0.028,0.046,0.022,0.017,0.012,0.091,0.046,0.021,NE
R7A2020_30785,0.03,0.063,0.025,0.038,0.02,0.098,0.038,0.03,NE
R7A2020_30790,0.006,0.022,0.011,0.006,0.011,0.05,0.022,0.011,NE
R7A2020_30795,0.052,0.085,0.044,0.032,0.032,0.122,0.052,0.027,NE
R7A2020_30800,0.039,0.069,0.039,0.023,0.03,0.102,0.036,0.023,NE
R7A2020_30805,0.034,0.047,0.013,0.04,0.013,0.094,0.027,0.02,NE
R7A2020_30810,0.04,0.06,0.033,0.026,0.026,0.115,0.049,0.028,NE
R7A2020_30815,0.013,0.043,0.018,0.016,0.016,0.075,0.03,0.025,NE
R7A2020_30820,0.033,0.039,0.021,0.012,0.014,0.082,0.041,0.023,NE
R7A2020_30825,0.04,0.074,0.029,0.034,0.039,0.112,0.052,0.034,NE
R7A2020_30830,0.039,0.056,0.026,0.013,0.033,0.095,0.052,0.036,NE
R7A2020_30835,0.033,0.056,0.024,0.022,0.017,0.1,0.045,0.025,NE
R7A2020_30840,0.06,0.093,0.045,0.044,0.04,0.143,0.05,0.042,NE
R7A2020_30845,0.058,0.095,0.047,0.043,0.04,0.122,0.053,0.018,NE
R7A2020_30850,0.053,0.041,0.029,0.012,0.012,0.124,0.047,0.024,NE
R7A2020_30855,0.071,0.126,0.055,0.061,0.047,0.178,0.058,0.056,NE
R7A2020_30860,0.045,0.089,0.054,0.033,0.033,0.109,0.045,0.029,NE
R7A2020_30865,0.055,0.084,0.041,0.037,0.038,0.137,0.061,0.034,NE
R7A2020_30870,0.016,0.041,0.014,0.018,0.014,0.074,0.04,0.015,NE
R7A2020_30875,0.012,0.01,0.003,0.004,0.003,0.037,0.013,0.007,NE
R7A2020_30880,0.043,0.072,0.031,0.034,0.026,0.13,0.046,0.033,NE
R7A2020_30885,0.029,0.036,0.02,0.016,0.01,0.088,0.029,0.026,NE
R7A2020_30890,0.1,0.141,0.068,0.067,0.064,0.211,0.084,0.051,NE
R7A2020_30895,0.09,0.131,0.061,0.065,0.06,0.202,0.083,0.05,NE
R7A2020_30900,0.042,0.108,0.028,0.028,0.07,0.146,0.061,0.052,NE
R7A2020_30905,0.007,0.052,0.015,0.022,0.015,0.037,0.018,0.004,NE
R7A2020_30910,0.003,0.01,0.004,0.005,0.003,0.03,0.017,0.009,ICE-ES
R7A2020_30915,0.006,0.009,0.003,0.004,0.003,0.036,0.022,0.009,NE
R7A2020_30920,0,0.002,0,0,0.002,0.004,0.004,0,ICE-ES
R7A2020_30925,0.005,0.003,0,0,0.003,0.005,0,0,ICE-ES
R7A2020_30930,0.007,0.026,0.007,0.018,0.004,0.066,0.044,0.015,NE
R7A2020_30935,0.008,0.023,0.004,0.009,0.011,0.06,0.034,0.021,NE
R7A2020_30940,0.007,0.024,0.014,0.003,0.01,0.069,0.039,0.022,NE
R7A2020_30945,0.011,0.021,0.003,0.009,0.009,0.054,0.032,0.014,NE
R7A2020_30950,0.009,0.014,0.007,0.006,0.002,0.049,0.024,0.02,NE
R7A2020_30955,0.013,0.024,0.009,0.009,0.009,0.07,0.032,0.026,NE
R7A2020_30960,0.006,0.016,0.003,0.004,0.009,0.05,0.032,0.015,NE
R7A2020_30965,0.022,0.031,0.013,0.011,0.014,0.088,0.031,0.025,NE
R7A2020_30970,0.029,0.044,0.015,0.016,0.016,0.09,0.04,0.02,NE
R7A2020_30975,0.057,0.079,0.04,0.032,0.028,0.155,0.057,0.049,NE
