locus_tag,INPUT,RHIZO,GIFU,NFR5,COL0,ES,TY,GR,state
R7A2020_29110,0.104,0.152,0.086,0.079,0.08,0.212,0.068,0.046,NE
R7A2020_29115,0.093,0.142,0.073,0.057,0.068,0.193,0.067,0.049,NE
R7A2020_29120,0.078,0.124,0.061,0.061,0.048,0.176,0.058,0.041,NE
R7A2020_29125,0.042,0.072,0.032,0.032,0.025,0.095,0.025,0.017,NE
R7A2020_29130,0.032,0.056,0.027,0.015,0.027,0.135,0.044,0.047,NE
R7A2020_29135,0.012,0.043,0.024,0.024,0.024,0.073,0.055,0.012,NE
R7A2020_29140,0.064,0.085,0.042,0.04,0.039,0.152,0.052,0.04,NE
R7A2020_29145,0.035,0.058,0.025,0.026,0.022,0.11,0.041,0.032,NE
R7A2020_29150,0.029,0.071,0.034,0.028,0.025,0.11,0.053,0.039,NE
R7A2020_29155,0.032,0.051,0.026,0.019,0.021,0.102,0.041,0.029,NE
R7A2020_29160,0.043,0.082,0.035,0.037,0.027,0.125,0.038,0.04,NE
R7A2020_29165,0.043,0.053,0.025,0.016,0.03,0.125,0.058,0.026,NE
R7A2020_29170,0.053,0.083,0.047,0.023,0.044,0.125,0.042,0.031,NE
R7A2020_29175,0.06,0.102,0.061,0.043,0.043,0.152,0.057,0.042,NE
R7A2020_29180,0.033,0.06,0.023,0.022,0.021,0.112,0.053,0.038,NE
R7A2020_29185,0.025,0.035,0.017,0.011,0.011,0.089,0.038,0.026,NE
R7A2020_29190,0.011,0.024,0.014,0.007,0.006,0.058,0.031,0.014,NE
R7A2020_29195,0.012,0.022,0.012,0.008,0.007,0.057,0.025,0.017,NE
R7A2020_29200,0.016,0.022,0.01,0.009,0.009,0.063,0.022,0.016,NE
R7A2020_29205,0.02,0.039,0.017,0.018,0.015,0.09,0.046,0.026,NE
R7A2020_29210,0,0.001,0,0,0.001,0.002,0.001,0,ICE-ES
R7A2020_29215,0.017,0.021,0.007,0.01,0.007,0.072,0.029,0.024,NE
R7A2020_29220,0.02,0.029,0.013,0.008,0.012,0.077,0.035,0.019,NE
R7A2020_29225,0.017,0.037,0.016,0.019,0.012,0.077,0.039,0.022,NE
R7A2020_29230,0.013,0.029,0.01,0.011,0.01,0.082,0.047,0.028,NE
R7A2020_29235,0.005,0.011,0.002,0.005,0.005,0.053,0.027,0.02,NE
R7A2020_29240,0.027,0.04,0.017,0.017,0.013,0.094,0.039,0.027,NE
R7A2020_29245,0.024,0.04,0.014,0.015,0.02,0.073,0.032,0.013,NE
R7A2020_29250,0.018,0.016,0.006,0.009,0.003,0.059,0.025,0.016,NE
R7A2020_29255,0.021,0.051,0.021,0.009,0.023,0.097,0.044,0.021,NE
R7A2020_29260,0.042,0.059,0.03,0.03,0.027,0.13,0.064,0.037,NE
R7A2020_29265,0.042,0.063,0.042,0.018,0.022,0.092,0.028,0.021,NE
R7A2020_29270,0.032,0.04,0.016,0.012,0.016,0.104,0.06,0.02,NE
R7A2020_29275,0.011,0.044,0.019,0.023,0.011,0.087,0.049,0.028,NE
R7A2020_29280,0.014,0.031,0.005,0.017,0.01,0.077,0.046,0.024,NE
R7A2020_29285,0.041,0.069,0.034,0.027,0.025,0.133,0.055,0.03,NE
R7A2020_29290,0.053,0.089,0.041,0.041,0.04,0.141,0.058,0.035,NE
R7A2020_29295,0.07,0.1,0.055,0.062,0.036,0.153,0.055,0.031,NE
R7A2020_29300,0.053,0.079,0.036,0.041,0.026,0.124,0.041,0.026,NE
R7A2020_29305,0.048,0.104,0.065,0.043,0.043,0.148,0.052,0.048,NE
R7A2020_29310,0.065,0.116,0.058,0.054,0.036,0.159,0.072,0.036,NE
R7A2020_29315,0.053,0.061,0.018,0.026,0.03,0.132,0.043,0.026,NE
R7A2020_29320,0.067,0.095,0.053,0.043,0.04,0.166,0.057,0.047,NE
R7A2020_29325,0.02,0.03,0.02,0.01,0,0.09,0.03,0.02,NE
R7A2020_29330,0.031,0.029,0.006,0.008,0.017,0.096,0.04,0.027,NE
R7A2020_29335,0,0.004,0.002,0.002,0.001,0.007,0.003,0.002,ICE-ES
R7A2020_29340,0.024,0.054,0.017,0.019,0.033,0.095,0.05,0.028,NE
R7A2020_29345,0.01,0.044,0.024,0.024,0.007,0.073,0.045,0.017,NE
R7A2020_29350,0.033,0.101,0.056,0.051,0.036,0.111,0.045,0.026,NE
R7A2020_29355,0.056,0.096,0.045,0.04,0.036,0.144,0.069,0.032,NE
R7A2020_29360,0.049,0.075,0.03,0.045,0.024,0.122,0.051,0.038,NE
R7A2020_29365,0.041,0.062,0.029,0.03,0.036,0.137,0.064,0.043,NE
R7A2020_29370,0.044,0.056,0.011,0.022,0.044,0.111,0.044,0.033,NE
R7A2020_29375,0.041,0.109,0.057,0.057,0.036,0.118,0.055,0.026,NE
R7A2020_29380,0.078,0.102,0.053,0.059,0.037,0.165,0.047,0.04,NE
R7A2020_29385,0.03,0.049,0.029,0.021,0.019,0.083,0.037,0.02,NE
R7A2020_29390,0.019,0.021,0,0.001,0.019,0.088,0.043,0.028,NE
R7A2020_29395,0.028,0.021,0.002,0.002,0.015,0.095,0.045,0.023,NE
R7A2020_29400,0.021,0.052,0.029,0.022,0.018,0.065,0.029,0.02,NE
R7A2020_29405,0.026,0.059,0.029,0.014,0.026,0.084,0.043,0.026,NE
R7A2020_29410,0.055,0.064,0.028,0.028,0.028,0.11,0.041,0.037,NE
R7A2020_29415,0.027,0.048,0.033,0.021,0.013,0.075,0.029,0.017,NE
R7A2020_29420,0.058,0.084,0.042,0.032,0.033,0.15,0.052,0.036,NE
R7A2020_29425,0.044,0.072,0.036,0.02,0.04,0.096,0.028,0.012,NE
R7A2020_29430,0.031,0.064,0.022,0.038,0.029,0.111,0.049,0.024,NE
R7A2020_29435,0.027,0.046,0.019,0.016,0.021,0.103,0.048,0.029,NE
R7A2020_29440,0.016,0.026,0.008,0.013,0.01,0.072,0.03,0.022,NE
R7A2020_29445,0.013,0.025,0.009,0.007,0.009,0.074,0.034,0.028,NE
R7A2020_29450,0.019,0.037,0.024,0.011,0.016,0.058,0.021,0.029,NE
R7A2020_29455,0.004,0.013,0.002,0.008,0.003,0.055,0.029,0.018,NE
R7A2020_29460,0.022,0.059,0.029,0.026,0.033,0.09,0.043,0.031,NE
R7A2020_29465,0.013,0.014,0.006,0.005,0.01,0.066,0.037,0.021,NE
R7A2020_29470,0.016,0.042,0.016,0.018,0.013,0.082,0.046,0.022,NE
R7A2020_29475,0.015,0.035,0.014,0.013,0.012,0.072,0.033,0.017,NE
R7A2020_29480,0.044,0.089,0.033,0.022,0.044,0.1,0.033,0.022,NE
R7A2020_29485,0.056,0.112,0.048,0.052,0.052,0.159,0.046,0.042,NE
R7A2020_29490,0.071,0.109,0.054,0.054,0.048,0.165,0.053,0.036,NE
R7A2020_29495,0.037,0.069,0.029,0.027,0.034,0.107,0.033,0.037,NE
R7A2020_29500,0.037,0.042,0.013,0.017,0.015,0.081,0.022,0.01,NE
R7A2020_29505,0,0,0,0,0,0,0,0,ICE-ES
R7A2020_29510,0.053,0.073,0.041,0.03,0.035,0.119,0.041,0.03,NE
R7A2020_29515,0.066,0.099,0.053,0.046,0.042,0.149,0.051,0.036,NE
R7A2020_29520,0.053,0.07,0.02,0.028,0.034,0.106,0.022,0.02,NE
R7A2020_29525,0.036,0.012,0.012,0,0.006,0.06,0,0,ICE-AGAR-ES
