locus_tag	ins_index.NSES	ins_index.WTES
R7A2020_04015	0.186	0.186
R7A2020_04020	0.179	0.198
R7A2020_04025	0.208	0.175
R7A2020_04030	0.269	0.221
R7A2020_04035	0.234	0.219
R7A2020_04040	0.005	0.010
R7A2020_04045	0.008	0.008
R7A2020_04050	0.106	0.127
R7A2020_04055	0.259	0.210
R7A2020_04060	0.225	0.223
R7A2020_04065	0.000	0.003
R7A2020_04070	0.013	0.024
R7A2020_04075	0.000	0.000
R7A2020_04080	0.176	0.152
R7A2020_04085	0.109	0.086
R7A2020_04090	0.109	0.085
R7A2020_04095	0.024	0.028
R7A2020_04100	0.001	0.000
R7A2020_04105	0.004	0.005
R7A2020_04110	0.218	0.181
R7A2020_04115	0.005	0.003
R7A2020_04120	0.217	0.177
R7A2020_04125	0.187	0.173
R7A2020_04130	0.182	0.189
R7A2020_04135	0.167	0.137
R7A2020_04140	0.145	0.148
R7A2020_04145	0.202	0.197
R7A2020_04150	0.214	0.196
R7A2020_04155	0.170	0.180
R7A2020_04160	0.196	0.161
R7A2020_04165	0.170	0.138
R7A2020_04170	0.207	0.214
R7A2020_04175	0.152	0.118
R7A2020_04180	0.183	0.183
R7A2020_04185	0.180	0.166
R7A2020_04190	0.219	0.195
R7A2020_04195	0.199	0.182
R7A2020_04200	0.215	0.184
R7A2020_04205	0.199	0.183
R7A2020_04210	0.092	0.106
R7A2020_04215	0.134	0.127
R7A2020_04220	0.145	0.130
R7A2020_04225	0.161	0.180
R7A2020_04230	0.103	0.103
R7A2020_04235	0.102	0.110
R7A2020_04240	0.155	0.147
R7A2020_04245	0.173	0.182
R7A2020_04250	0.186	0.145
R7A2020_04255	0.000	0.000
R7A2020_04260	0.134	0.139
R7A2020_04265	0.176	0.166
R7A2020_04270	0.121	0.126
R7A2020_04275	0.184	0.101
R7A2020_04280	0.164	0.155
R7A2020_04285	0.207	0.204
R7A2020_04290	0.149	0.159
R7A2020_04295	0.173	0.148
R7A2020_04300	0.181	0.161
R7A2020_04305	0.215	0.220
R7A2020_04310	0.184	0.177
R7A2020_04315	0.185	0.178
R7A2020_04320	0.188	0.214
R7A2020_04325	0.193	0.174
R7A2020_04330	0.201	0.164
R7A2020_04335	0.156	0.140
R7A2020_04340	0.165	0.184
R7A2020_04345	0.180	0.144
R7A2020_04350	0.147	0.129
R7A2020_04355	0.185	0.196
R7A2020_04360	0.141	0.130
R7A2020_04365	0.197	0.205
R7A2020_04370	0.149	0.155
R7A2020_04375	0.184	0.171
R7A2020_04380	0.188	0.182
R7A2020_04385	0.118	0.105
R7A2020_04390	0.164	0.167
R7A2020_04395	0.162	0.147
R7A2020_04400	0.115	0.128
R7A2020_04405	0.188	0.176
R7A2020_04410	0.001	0.001
R7A2020_04415	0.179	0.156
R7A2020_04420	0.164	0.170
R7A2020_04425	0.191	0.170
R7A2020_04430	0.200	0.206
R7A2020_04435	0.129	0.136
R7A2020_04440	0.173	0.191
R7A2020_04445	0.178	0.189
R7A2020_04450	0.167	0.135
R7A2020_04455	0.064	0.050
R7A2020_04455	0.064	0.050
R7A2020_04460	0.165	0.165
R7A2020_04465	0.003	0.001
R7A2020_04470	0.255	0.187
R7A2020_04475	0.163	0.182
R7A2020_04480	0.152	0.175
R7A2020_04485	0.103	0.085
R7A2020_04485	0.103	0.085
R7A2020_04490	0.179	0.161
R7A2020_04495	0.110	0.093
R7A2020_04500	0.082	0.087
R7A2020_04505	0.001	0.000
R7A2020_04510	0.180	0.165
R7A2020_04515	0.157	0.194
R7A2020_04520	0.197	0.168
R7A2020_04525	0.178	0.149
R7A2020_04530	0.170	0.177
R7A2020_04535	0.086	0.102
R7A2020_04540	0.186	0.167
R7A2020_04545	0.005	0.005
R7A2020_04550	0.185	0.175
R7A2020_04555	0.184	0.149
R7A2020_04560	0.174	0.153
R7A2020_04565	0.181	0.190
R7A2020_04570	0.165	0.155
R7A2020_04575	0.166	0.168
R7A2020_04580	0.150	0.157
R7A2020_04585	0.232	0.196
R7A2020_04590	0.123	0.117
R7A2020_04595	0.181	0.151
R7A2020_04600	0.103	0.145
R7A2020_04605	0.225	0.150
R7A2020_04610	0.103	0.083
R7A2020_04615	0.181	0.193
R7A2020_04620	0.001	0.001
R7A2020_04625	0.149	0.130
R7A2020_04630	0.201	0.180
R7A2020_04635	0.141	0.134
R7A2020_04640	0.113	0.105
R7A2020_04645	0.139	0.132
R7A2020_04650	0.198	0.204
R7A2020_04655	0.141	0.169
R7A2020_04660	0.218	0.174
R7A2020_04665	0.206	0.216
R7A2020_04670	0.087	0.083
R7A2020_04675	0.016	0.017
R7A2020_04680	0.140	0.136
R7A2020_04685	0.000	0.001
R7A2020_04690	0.152	0.138
R7A2020_04695	0.147	0.139
R7A2020_04700	0.228	0.200
R7A2020_04705	0.026	0.046
R7A2020_04710	0.140	0.155
R7A2020_04715	0.180	0.178
R7A2020_04720	0.028	0.019
R7A2020_04725	0.018	0.009
R7A2020_04730	0.224	0.151
R7A2020_04735	0.238	0.207
R7A2020_04740	0.010	0.003
R7A2020_04745	0.001	0.001
R7A2020_04750	0.001	0.002
R7A2020_04755	0.177	0.173
R7A2020_04760	0.188	0.157
R7A2020_04765	0.193	0.158
R7A2020_04770	0.016	0.028
R7A2020_04775	0.139	0.088
R7A2020_04780	0.182	0.177
R7A2020_04785	0.188	0.182
R7A2020_04790	0.124	0.130
R7A2020_04795	0.022	0.020
R7A2020_04800	0.000	0.000
R7A2020_04805	0.204	0.162
R7A2020_04810	0.043	0.043
R7A2020_04815	0.195	0.161
R7A2020_04820	0.151	0.162
R7A2020_04825	0.191	0.160
R7A2020_04830	0.208	0.163
R7A2020_04835	0.192	0.170
R7A2020_04840	0.209	0.192
R7A2020_04845	0.203	0.192
R7A2020_04850	0.188	0.164
R7A2020_04855	0.165	0.181
R7A2020_04860	0.133	0.136
R7A2020_04865	0.025	0.020
R7A2020_04870	0.032	0.023
R7A2020_04875	0.013	0.003
R7A2020_04880	0.190	0.136
R7A2020_04885	0.011	0.005
R7A2020_04890	0.108	0.215
R7A2020_04895	0.045	0.040
R7A2020_04900	0.091	0.100
R7A2020_04905	0.164	0.160
R7A2020_04910	0.165	0.143
R7A2020_04915	0.149	0.133
R7A2020_04920	0.161	0.138
R7A2020_04925	0.196	0.178
R7A2020_04930	0.004	0.000
R7A2020_04935	0.186	0.171
R7A2020_04940	0.007	0.007
R7A2020_04945	0.205	0.213
R7A2020_04950	0.157	0.169
R7A2020_04955	0.224	0.218
R7A2020_04960	0.006	0.007
R7A2020_04965	0.000	0.000
R7A2020_04970	0.137	0.164
R7A2020_04975	0.145	0.138
R7A2020_04980	0.002	0.003
R7A2020_04985	0.209	0.184
R7A2020_04990	0.146	0.117
R7A2020_04995	0.189	0.178
R7A2020_05000	0.197	0.197
R7A2020_05005	0.209	0.175
R7A2020_05010	0.174	0.187
R7A2020_05015	0.150	0.142
R7A2020_05020	0.148	0.148
R7A2020_05020	0.148	0.148
R7A2020_05025	0.001	0.001
R7A2020_05030	0.000	0.000
R7A2020_05035	0.000	0.005
R7A2020_05040	0.203	0.166
R7A2020_05045	0.180	0.163
R7A2020_05050	0.216	0.174
R7A2020_05055	0.173	0.169
R7A2020_05060	0.098	0.129
R7A2020_05065	0.217	0.200
R7A2020_05070	0.156	0.130
R7A2020_05075	0.115	0.107
R7A2020_05080	0.148	0.147
R7A2020_05085	0.166	0.167
R7A2020_05090	0.162	0.154
R7A2020_05095	0.208	0.192
R7A2020_05100	0.175	0.180
R7A2020_05105	0.164	0.150
R7A2020_05110	0.187	0.161
R7A2020_05115	0.162	0.154
R7A2020_05120	0.167	0.150
R7A2020_05125	0.219	0.178
R7A2020_05130	0.190	0.190
R7A2020_05135	0.175	0.168
R7A2020_05140	0.251	0.224
R7A2020_05145	0.134	0.139
R7A2020_05150	0.167	0.173
R7A2020_05155	0.185	0.199
R7A2020_05160	0.169	0.160
R7A2020_05165	0.200	0.181
R7A2020_05170	0.140	0.119
R7A2020_05175	0.178	0.151
R7A2020_05180	0.194	0.165
R7A2020_05185	0.185	0.167
R7A2020_05190	0.198	0.172
R7A2020_05195	0.190	0.207
R7A2020_05200	0.214	0.205
R7A2020_05205	0.184	0.175
R7A2020_05210	0.203	0.164
R7A2020_05215	0.181	0.174
R7A2020_05220	0.166	0.165
R7A2020_05225	0.239	0.231
R7A2020_05230	0.211	0.194
R7A2020_05235	0.104	0.134
R7A2020_05240	0.152	0.160
R7A2020_05245	0.213	0.203
R7A2020_05250	0.174	0.183
R7A2020_05255	0.183	0.206
R7A2020_05260	0.147	0.149
R7A2020_05265	0.128	0.161
R7A2020_05270	0.176	0.186
R7A2020_05275	0.162	0.141
R7A2020_05280	0.150	0.166
R7A2020_05285	0.197	0.167
R7A2020_05290	0.044	0.056
R7A2020_05290	0.044	0.056
R7A2020_05295	0.128	0.135
R7A2020_05300	0.167	0.156
R7A2020_05305	0.195	0.188
R7A2020_05310	0.165	0.172
R7A2020_05315	0.164	0.156
R7A2020_05320	0.208	0.181
R7A2020_05325	0.199	0.184
R7A2020_05330	0.186	0.182
R7A2020_05335	0.232	0.206
R7A2020_05340	0.153	0.145
R7A2020_05345	0.116	0.146
R7A2020_05350	0.000	0.000
R7A2020_05355	0.171	0.187
R7A2020_05360	0.231	0.224
R7A2020_05365	0.200	0.233
R7A2020_05370	0.231	0.218
R7A2020_05375	0.196	0.157
R7A2020_05380	0.205	0.183
R7A2020_05385	0.222	0.244
R7A2020_05390	0.083	0.104
R7A2020_05395	0.000	0.000
R7A2020_05400	0.194	0.217
R7A2020_05405	0.173	0.133
R7A2020_05410	0.184	0.175
R7A2020_05415	0.169	0.147
R7A2020_05420	0.162	0.128
R7A2020_05425	0.157	0.147
R7A2020_05430	0.182	0.140
R7A2020_05435	0.087	0.072
R7A2020_05440	0.208	0.206
R7A2020_05445	0.168	0.183
R7A2020_05450	0.167	0.177
R7A2020_05455	0.184	0.160
R7A2020_05460	0.179	0.201
R7A2020_05465	0.135	0.150
R7A2020_05470	0.171	0.171
R7A2020_05475	0.154	0.152
R7A2020_05480	0.217	0.157
R7A2020_05485	0.155	0.162
R7A2020_05490	0.138	0.111
R7A2020_05495	0.208	0.220
R7A2020_05500	0.226	0.200
R7A2020_05505	0.155	0.149
R7A2020_05510	0.116	0.131
R7A2020_05515	0.141	0.125
R7A2020_05520	0.221	0.197
R7A2020_05525	0.137	0.155
R7A2020_05530	0.190	0.173
R7A2020_05535	0.202	0.189
R7A2020_05540	0.239	0.284
R7A2020_05545	0.253	0.224
R7A2020_05550	0.203	0.190
R7A2020_05555	0.230	0.208
R7A2020_05560	0.154	0.195
R7A2020_05565	0.001	0.000
R7A2020_05570	0.004	0.004
R7A2020_05575	0.221	0.188
R7A2020_05580	0.252	0.204
R7A2020_05585	0.001	0.002
R7A2020_05590	0.224	0.202
R7A2020_05595	0.145	0.148
R7A2020_05600	0.004	0.008
R7A2020_05605	0.000	0.000
R7A2020_05610	0.001	0.001
R7A2020_05615	0.001	0.001
R7A2020_05620	0.046	0.034
R7A2020_05625	0.188	0.174
R7A2020_05630	0.178	0.180
R7A2020_05635	0.192	0.186
R7A2020_05640	0.147	0.121
R7A2020_05645	0.158	0.178
R7A2020_05650	0.003	0.002
R7A2020_05655	0.204	0.167
R7A2020_05660	0.219	0.224
R7A2020_05665	0.000	0.039
R7A2020_05670	0.091	0.117
R7A2020_05675	0.000	0.000
R7A2020_05680	0.232	0.232
R7A2020_05685	0.224	0.178
R7A2020_05690	0.146	0.146
R7A2020_05695	0.001	0.000
R7A2020_05700	0.082	0.071
R7A2020_05700	0.082	0.071
R7A2020_05705	0.070	0.072
R7A2020_05710	0.004	0.006
R7A2020_05715	0.237	0.212
R7A2020_05720	0.166	0.156
R7A2020_05725	0.155	0.155
R7A2020_05730	0.238	0.187
R7A2020_05735	0.051	0.043
R7A2020_05735	0.051	0.043
R7A2020_05735	0.051	0.043
R7A2020_05740	0.086	0.063
R7A2020_05740	0.086	0.063
R7A2020_05745	0.230	0.199
R7A2020_05750	0.182	0.169
R7A2020_05755	0.217	0.208
R7A2020_05760	0.206	0.247
R7A2020_05765	0.228	0.187
R7A2020_05770	0.175	0.190
R7A2020_05775	0.164	0.150
R7A2020_05780	0.148	0.164
R7A2020_05785	0.116	0.134
R7A2020_05790	0.200	0.195
R7A2020_05795	0.122	0.122
R7A2020_05800	0.121	0.132
R7A2020_05805	0.165	0.168
R7A2020_05810	0.148	0.154
R7A2020_05815	0.190	0.139
R7A2020_05820	0.191	0.171
R7A2020_05825	0.228	0.221
R7A2020_05830	0.176	0.190
R7A2020_05835	0.199	0.202
R7A2020_05840	0.176	0.149
R7A2020_05845	0.204	0.213
R7A2020_05850	0.185	0.174
R7A2020_05855	0.189	0.118
R7A2020_05860	0.137	0.159
R7A2020_05865	0.137	0.144
R7A2020_05870	0.000	0.000
R7A2020_05875	0.136	0.126
R7A2020_05880	0.177	0.147
R7A2020_05885	0.220	0.196
R7A2020_05890	0.249	0.183
R7A2020_05895	0.179	0.184
R7A2020_05900	0.147	0.149
R7A2020_05905	0.046	0.052
R7A2020_05905	0.046	0.052
R7A2020_05910	0.120	0.078
R7A2020_05915	0.176	0.210
R7A2020_05920	0.141	0.147
R7A2020_05925	0.030	0.067
R7A2020_05925	0.030	0.067
R7A2020_05925	0.030	0.067
R7A2020_05930	0.174	0.154
R7A2020_05935	0.067	0.084
R7A2020_05940	0.179	0.179
R7A2020_05945	0.170	0.175
R7A2020_05950	0.085	0.105
R7A2020_05955	0.163	0.181
R7A2020_05960	0.136	0.127
R7A2020_05965	0.168	0.151
R7A2020_05970	0.216	0.184
R7A2020_05975	0.152	0.136
R7A2020_05980	0.015	0.021
R7A2020_05985	0.026	0.016
R7A2020_05990	0.124	0.115
R7A2020_05995	0.149	0.142
R7A2020_06000	0.191	0.173
R7A2020_06005	0.228	0.205
R7A2020_06010	0.185	0.216
R7A2020_06015	0.140	0.136
R7A2020_06020	0.205	0.196
R7A2020_06025	0.200	0.173
R7A2020_06030	0.001	0.001
R7A2020_06035	0.224	0.224
R7A2020_06040	0.198	0.168
R7A2020_06045	0.215	0.211
R7A2020_06050	0.006	0.008
R7A2020_06055	0.078	0.038
R7A2020_06060	0.254	0.210
R7A2020_06065	0.199	0.194
R7A2020_06070	0.271	0.221
R7A2020_06075	0.203	0.189
R7A2020_06080	0.194	0.213
R7A2020_06085	0.160	0.173
R7A2020_06090	0.018	0.013
R7A2020_06095	0.083	0.090
R7A2020_06100	0.100	0.087
R7A2020_06105	0.087	0.070
R7A2020_06110	0.129	0.110
R7A2020_06115	0.079	0.090
R7A2020_06120	0.204	0.195
R7A2020_06125	0.220	0.192
R7A2020_06130	0.185	0.165
R7A2020_06135	0.000	0.000
R7A2020_06140	0.003	0.005
R7A2020_06145	0.002	0.000
R7A2020_06150	0.000	0.000
R7A2020_06155	0.000	0.000
R7A2020_06160	0.073	0.068
R7A2020_06165	0.004	0.005
R7A2020_06170	0.000	0.002
R7A2020_06175	0.082	0.094
R7A2020_06180	0.192	0.150
R7A2020_06185	0.002	0.001
R7A2020_06190	0.217	0.162
R7A2020_06195	0.152	0.141
R7A2020_06200	0.071	0.048
R7A2020_06200	0.071	0.048
R7A2020_06205	0.111	0.076
R7A2020_06210	0.192	0.193
R7A2020_06215	0.001	0.000
R7A2020_06220	0.049	0.070
R7A2020_06225	0.113	0.101
R7A2020_06225	0.113	0.101
R7A2020_06230	0.166	0.157
R7A2020_06235	0.011	0.004
R7A2020_06240	0.182	0.184
R7A2020_06245	0.201	0.181
R7A2020_06250	0.166	0.207
R7A2020_06255	0.222	0.164
R7A2020_06260	0.148	0.152
R7A2020_06265	0.175	0.162
R7A2020_06270	0.219	0.195
R7A2020_06275	0.196	0.156
R7A2020_06280	0.012	0.006
R7A2020_06285	0.000	0.000
R7A2020_06290	0.209	0.197
R7A2020_06295	0.165	0.164
R7A2020_06300	0.131	0.127
R7A2020_06305	0.209	0.208
R7A2020_06310	0.199	0.176
R7A2020_06315	0.235	0.225
R7A2020_06320	0.098	0.109
R7A2020_06325	0.148	0.162
R7A2020_06330	0.228	0.181
R7A2020_06335	0.246	0.227
R7A2020_06340	0.216	0.222
R7A2020_06345	0.153	0.154
R7A2020_06350	0.139	0.100
R7A2020_06355	0.188	0.193
R7A2020_06360	0.191	0.188
R7A2020_06365	0.140	0.141
R7A2020_06370	0.200	0.229
R7A2020_06375	0.218	0.223
R7A2020_06380	0.212	0.234
R7A2020_06385	0.150	0.148
R7A2020_06390	0.195	0.180
R7A2020_06395	0.144	0.142
R7A2020_06400	0.116	0.124
R7A2020_06405	0.117	0.121
R7A2020_06410	0.201	0.199
R7A2020_06415	0.007	0.007
R7A2020_06420	0.086	0.070
R7A2020_06425	0.137	0.147
R7A2020_06430	0.193	0.198
R7A2020_06435	0.131	0.108
R7A2020_06440	0.009	0.000
R7A2020_06445	0.182	0.202
R7A2020_06450	0.142	0.133
R7A2020_06455	0.127	0.108
R7A2020_06460	0.051	0.038
R7A2020_06460	0.051	0.038
R7A2020_06465	0.207	0.181
R7A2020_06470	0.176	0.159
R7A2020_06475	0.188	0.166
R7A2020_06480	0.193	0.153
R7A2020_06485	0.199	0.204
R7A2020_06490	0.206	0.231
R7A2020_06495	0.192	0.201
R7A2020_06500	0.164	0.191
R7A2020_06505	0.190	0.164
R7A2020_06510	0.098	0.080
R7A2020_06515	0.072	0.065
R7A2020_06520	0.000	0.000
R7A2020_06525	0.140	0.130
R7A2020_06530	0.055	0.048
R7A2020_06530	0.055	0.048
R7A2020_06535	0.122	0.089
R7A2020_06535	0.122	0.089
R7A2020_06540	0.154	0.128
R7A2020_06545	0.132	0.134
R7A2020_06550	0.162	0.157
R7A2020_06555	0.168	0.168
R7A2020_06560	0.160	0.168
R7A2020_06565	0.063	0.065
R7A2020_06565	0.063	0.065
R7A2020_06570	0.181	0.154
R7A2020_06575	0.006	0.006
R7A2020_06580	0.167	0.143
R7A2020_06585	0.201	0.217
R7A2020_06590	0.125	0.105
R7A2020_06595	0.160	0.097
R7A2020_06600	0.146	0.146
R7A2020_06605	0.145	0.152
R7A2020_06610	0.164	0.195
R7A2020_06615	0.126	0.121
R7A2020_06620	0.147	0.084
R7A2020_06625	0.185	0.174
R7A2020_06630	0.132	0.138
R7A2020_06635	0.180	0.171
R7A2020_06640	0.158	0.067
R7A2020_06645	0.019	0.015
R7A2020_06650	0.162	0.147
R7A2020_06655	0.195	0.187
R7A2020_06660	0.095	0.125
R7A2020_06665	0.160	0.132
R7A2020_06670	0.212	0.219
R7A2020_06675	0.232	0.196
R7A2020_06680	0.183	0.178
R7A2020_06685	0.188	0.178
R7A2020_06690	0.200	0.184
R7A2020_06695	0.145	0.148
R7A2020_06700	0.197	0.172
R7A2020_06705	0.178	0.164
R7A2020_06710	0.001	0.001
R7A2020_06715	0.142	0.103
R7A2020_06720	0.155	0.149
R7A2020_06725	0.193	0.201
R7A2020_06730	0.179	0.163
R7A2020_06735	0.043	0.045
R7A2020_06740	0.101	0.111
R7A2020_06745	0.101	0.119
R7A2020_06750	0.135	0.144
R7A2020_06755	0.200	0.277
R7A2020_06760	0.098	0.121
R7A2020_06765	0.134	0.167
R7A2020_06770	0.137	0.144
R7A2020_06775	0.192	0.163
R7A2020_06780	0.129	0.114
R7A2020_06785	0.119	0.124
R7A2020_06790	0.192	0.197
R7A2020_06795	0.108	0.118
R7A2020_06800	0.170	0.169
R7A2020_06805	0.147	0.132
R7A2020_06810	0.127	0.084
R7A2020_06815	0.146	0.117
R7A2020_06820	0.162	0.126
R7A2020_06825	0.184	0.169
R7A2020_06830	0.002	0.002
R7A2020_06835	0.212	0.176
R7A2020_06840	0.148	0.172
R7A2020_06845	0.146	0.153
R7A2020_06850	0.145	0.157
R7A2020_06855	0.188	0.182
R7A2020_06860	0.148	0.129
R7A2020_06865	0.158	0.165
R7A2020_06870	0.171	0.191
R7A2020_06875	0.178	0.181
R7A2020_06880	0.007	0.007
R7A2020_06885	0.182	0.158
R7A2020_06890	0.017	0.023
R7A2020_06895	0.123	0.147
R7A2020_06900	0.094	0.104
R7A2020_06905	0.129	0.148
R7A2020_06910	0.165	0.122
R7A2020_06915	0.176	0.153
R7A2020_06920	0.176	0.147
R7A2020_06925	0.188	0.141
R7A2020_06930	0.161	0.138
R7A2020_06935	0.195	0.167
R7A2020_06940	0.167	0.149
R7A2020_06945	0.152	0.166
R7A2020_06950	0.246	0.189
R7A2020_06955	0.169	0.169
R7A2020_06960	0.192	0.200
R7A2020_06965	0.152	0.162
R7A2020_06970	0.190	0.173
R7A2020_06975	0.166	0.187
R7A2020_06980	0.171	0.177
R7A2020_06985	0.167	0.165
R7A2020_06990	0.171	0.154
R7A2020_06995	0.225	0.168
R7A2020_07000	0.164	0.173
R7A2020_07005	0.155	0.153
R7A2020_07010	0.174	0.170
R7A2020_07015	0.173	0.175
R7A2020_07020	0.182	0.168
R7A2020_07025	0.188	0.195
R7A2020_07030	0.122	0.124
R7A2020_07035	0.131	0.154
R7A2020_07040	0.162	0.153
R7A2020_07045	0.170	0.180
R7A2020_07050	0.189	0.186
R7A2020_07055	0.215	0.201
R7A2020_07060	0.180	0.162
R7A2020_07065	0.147	0.123
R7A2020_07070	0.183	0.154
R7A2020_07075	0.162	0.161
R7A2020_07080	0.111	0.093
R7A2020_07085	0.214	0.206
R7A2020_07090	0.214	0.218
R7A2020_07095	0.192	0.171
R7A2020_07100	0.189	0.179
R7A2020_07105	0.153	0.142
R7A2020_07110	0.152	0.135
R7A2020_07115	0.195	0.182
R7A2020_07120	0.219	0.180
R7A2020_07125	0.173	0.186
R7A2020_07130	0.163	0.145
R7A2020_07135	0.126	0.147
R7A2020_07140	0.219	0.190
R7A2020_07145	0.193	0.174
R7A2020_07150	0.126	0.154
R7A2020_07155	0.179	0.155
R7A2020_07160	0.167	0.156
R7A2020_07165	0.168	0.147
R7A2020_07170	0.133	0.142
R7A2020_07175	0.176	0.166
R7A2020_07180	0.134	0.125
R7A2020_07185	0.114	0.074
R7A2020_07190	0.100	0.062
R7A2020_07195	0.133	0.131
R7A2020_07200	0.147	0.141
R7A2020_07205	0.070	0.093
R7A2020_07210	0.136	0.115
R7A2020_07215	0.154	0.136
R7A2020_07220	0.151	0.136
R7A2020_07225	0.151	0.179
R7A2020_07230	0.164	0.157
R7A2020_07235	0.059	0.047
R7A2020_07235	0.059	0.047
R7A2020_07235	0.059	0.047
R7A2020_07240	0.118	0.145
R7A2020_07245	0.137	0.162
R7A2020_07250	0.149	0.168
R7A2020_07255	0.171	0.147
R7A2020_07260	0.169	0.164
R7A2020_07265	0.153	0.144
R7A2020_07270	0.188	0.185
R7A2020_07275	0.167	0.154
R7A2020_07280	0.172	0.182
R7A2020_07285	0.158	0.145
R7A2020_07290	0.121	0.130
R7A2020_07295	0.175	0.169
R7A2020_07300	0.095	0.101
R7A2020_07305	0.150	0.137
R7A2020_07310	0.147	0.167
R7A2020_07315	0.161	0.153
R7A2020_07320	0.146	0.163
R7A2020_07325	0.167	0.163
R7A2020_07330	0.176	0.187
R7A2020_07335	0.199	0.191
R7A2020_07340	0.127	0.123
R7A2020_07345	0.124	0.108
R7A2020_07350	0.126	0.116
R7A2020_07355	0.150	0.140
R7A2020_07360	0.000	0.000
R7A2020_07365	0.160	0.153
R7A2020_07370	0.146	0.121
R7A2020_07375	0.200	0.176
R7A2020_07380	0.123	0.137
R7A2020_07385	0.152	0.139
R7A2020_07390	0.001	0.001
R7A2020_07395	0.176	0.168
R7A2020_07400	0.115	0.122
R7A2020_07405	0.090	0.125
R7A2020_07410	0.036	0.051
R7A2020_07410	0.036	0.051
R7A2020_07410	0.036	0.051
R7A2020_07415	0.211	0.227
R7A2020_07420	0.172	0.163
R7A2020_07425	0.204	0.211
R7A2020_07430	0.116	0.105
R7A2020_07435	0.095	0.112
R7A2020_07440	0.000	0.001
R7A2020_07445	0.152	0.136
R7A2020_07450	0.003	0.004
R7A2020_07455	0.151	0.135
R7A2020_07460	0.076	0.105
R7A2020_07465	0.145	0.164
R7A2020_07470	0.173	0.203
R7A2020_07475	0.199	0.182
R7A2020_07480	0.195	0.190
R7A2020_07485	0.107	0.116
R7A2020_07490	0.000	0.000
R7A2020_07495	0.179	0.158
R7A2020_07500	0.222	0.194
R7A2020_07505	0.169	0.148
R7A2020_07510	0.140	0.127
R7A2020_07515	0.154	0.179
R7A2020_07520	0.164	0.164
R7A2020_07525	0.183	0.187
R7A2020_07530	0.152	0.146
R7A2020_07535	0.099	0.095
R7A2020_07540	0.017	0.025
R7A2020_07545	0.019	0.011
R7A2020_07550	0.177	0.163
R7A2020_07555	0.174	0.131
R7A2020_07560	0.198	0.197
R7A2020_07565	0.078	0.078
R7A2020_07570	0.182	0.182
R7A2020_07575	0.195	0.175
R7A2020_07580	0.245	0.200
R7A2020_07585	0.003	0.004
R7A2020_07590	0.172	0.173
R7A2020_07595	0.130	0.120
R7A2020_07600	0.197	0.204
R7A2020_07605	0.126	0.121
R7A2020_07610	0.096	0.076
R7A2020_07615	0.071	0.048
R7A2020_07615	0.071	0.048
R7A2020_07615	0.071	0.048
R7A2020_07620	0.204	0.149
R7A2020_07625	0.158	0.152
R7A2020_07630	0.148	0.151
R7A2020_07635	0.193	0.177
R7A2020_07640	0.197	0.193
R7A2020_07645	0.164	0.129
R7A2020_07650	0.143	0.118
R7A2020_07655	0.182	0.169
R7A2020_07660	0.182	0.132
R7A2020_07665	0.086	0.056
R7A2020_07670	0.080	0.086
R7A2020_07675	0.001	0.001
R7A2020_07680	0.152	0.147
R7A2020_07685	0.170	0.163
R7A2020_07690	0.159	0.154
R7A2020_07695	0.155	0.139
R7A2020_07700	0.149	0.151
R7A2020_07705	0.157	0.162
R7A2020_07710	0.166	0.131
R7A2020_07710	0.166	0.131
R7A2020_07715	0.167	0.153
R7A2020_07715	0.167	0.153
R7A2020_07720	0.110	0.080
R7A2020_07720	0.110	0.080
R7A2020_07725	0.174	0.147
R7A2020_07730	0.185	0.161
R7A2020_07735	0.198	0.179
R7A2020_07740	0.152	0.142
R7A2020_07745	0.063	0.027
R7A2020_07745	0.063	0.027
R7A2020_07745	0.063	0.027
R7A2020_07750	0.036	0.028
R7A2020_07755	0.213	0.164
R7A2020_07760	0.026	0.044
R7A2020_07765	0.177	0.207
R7A2020_07770	0.199	0.180
R7A2020_07775	0.201	0.182
R7A2020_07780	0.184	0.177
R7A2020_07785	0.227	0.206
R7A2020_07790	0.240	0.198
R7A2020_07795	0.202	0.162
R7A2020_07800	0.063	0.047
R7A2020_07800	0.063	0.047
R7A2020_07800	0.063	0.047
R7A2020_07805	0.133	0.141
R7A2020_07810	0.027	0.014
R7A2020_07815	0.169	0.185
R7A2020_07820	0.166	0.166
R7A2020_07825	0.217	0.199
R7A2020_07830	0.192	0.178
R7A2020_07835	0.000	0.001
R7A2020_07840	0.214	0.197
R7A2020_07845	0.157	0.138
R7A2020_07850	0.214	0.223
R7A2020_07855	0.248	0.200
R7A2020_07860	0.188	0.187
R7A2020_07865	0.203	0.111
R7A2020_07870	0.114	0.100
R7A2020_07875	0.165	0.125
R7A2020_07880	0.118	0.131
R7A2020_07885	0.001	0.003
R7A2020_07890	0.178	0.176
R7A2020_07895	0.143	0.130
R7A2020_07900	0.176	0.174
R7A2020_07905	0.163	0.185
R7A2020_07910	0.181	0.179
R7A2020_07915	0.202	0.199
R7A2020_07920	0.161	0.181
R7A2020_07925	0.165	0.167
R7A2020_07930	0.174	0.125
R7A2020_07935	0.000	0.000
R7A2020_07940	0.186	0.175
R7A2020_07945	0.225	0.203
R7A2020_07950	0.079	0.051
R7A2020_07955	0.002	0.005
R7A2020_07960	0.033	0.033
R7A2020_07965	0.000	0.001
R7A2020_07970	0.035	0.023
