locus_tag	ins_index.NSTY	ins_index.WTTY
R7A2020_03995	0.069	0.060
R7A2020_04000	0.063	0.085
R7A2020_04005	0.053	0.053
R7A2020_04010	0.060	0.067
R7A2020_04015	0.054	0.055
R7A2020_04020	0.047	0.063
R7A2020_04025	0.050	0.062
R7A2020_04030	0.067	0.052
R7A2020_04035	0.056	0.075
R7A2020_04040	0.000	0.000
R7A2020_04045	0.000	0.004
R7A2020_04050	0.033	0.038
R7A2020_04055	0.043	0.065
R7A2020_04060	0.056	0.077
R7A2020_04065	0.000	0.000
R7A2020_04070	0.007	0.004
R7A2020_04075	0.000	0.000
R7A2020_04080	0.050	0.052
R7A2020_04085	0.024	0.028
R7A2020_04090	0.026	0.026
R7A2020_04095	0.007	0.011
R7A2020_04100	0.000	0.000
R7A2020_04105	0.001	0.001
R7A2020_04110	0.066	0.070
R7A2020_04115	0.001	0.000
R7A2020_04120	0.058	0.051
R7A2020_04125	0.045	0.053
R7A2020_04130	0.047	0.041
R7A2020_04135	0.048	0.045
R7A2020_04140	0.045	0.037
R7A2020_04145	0.055	0.055
R7A2020_04150	0.058	0.063
R7A2020_04155	0.053	0.055
R7A2020_04160	0.061	0.056
R7A2020_04165	0.065	0.042
R7A2020_04170	0.051	0.071
R7A2020_04175	0.051	0.029
R7A2020_04180	0.045	0.067
R7A2020_04185	0.044	0.050
R7A2020_04190	0.070	0.068
R7A2020_04195	0.060	0.074
R7A2020_04200	0.071	0.063
R7A2020_04205	0.056	0.062
R7A2020_04210	0.019	0.031
R7A2020_04215	0.028	0.047
R7A2020_04220	0.043	0.043
R7A2020_04225	0.046	0.063
R7A2020_04230	0.040	0.028
R7A2020_04235	0.030	0.025
R7A2020_04240	0.048	0.033
R7A2020_04245	0.055	0.069
R7A2020_04250	0.068	0.047
R7A2020_04255	0.000	0.000
R7A2020_04260	0.033	0.028
R7A2020_04265	0.038	0.035
R7A2020_04270	0.038	0.038
R7A2020_04275	0.053	0.058
R7A2020_04280	0.044	0.053
R7A2020_04285	0.051	0.058
R7A2020_04290	0.034	0.044
R7A2020_04295	0.045	0.058
R7A2020_04300	0.053	0.050
R7A2020_04305	0.056	0.073
R7A2020_04310	0.039	0.051
R7A2020_04315	0.055	0.059
R7A2020_04320	0.046	0.063
R7A2020_04325	0.049	0.070
R7A2020_04330	0.050	0.044
R7A2020_04335	0.048	0.051
R7A2020_04340	0.072	0.055
R7A2020_04345	0.050	0.057
R7A2020_04350	0.029	0.037
R7A2020_04355	0.061	0.074
R7A2020_04360	0.047	0.047
R7A2020_04365	0.061	0.071
R7A2020_04370	0.039	0.054
R7A2020_04375	0.050	0.074
R7A2020_04380	0.059	0.055
R7A2020_04385	0.015	0.031
R7A2020_04390	0.049	0.049
R7A2020_04395	0.050	0.045
R7A2020_04400	0.040	0.042
R7A2020_04405	0.059	0.051
R7A2020_04410	0.000	0.000
R7A2020_04415	0.041	0.051
R7A2020_04420	0.031	0.051
R7A2020_04425	0.061	0.065
R7A2020_04430	0.060	0.063
R7A2020_04435	0.036	0.040
R7A2020_04440	0.062	0.058
R7A2020_04445	0.050	0.058
R7A2020_04450	0.032	0.035
R7A2020_04455	0.015	0.012
R7A2020_04455	0.015	0.012
R7A2020_04460	0.039	0.032
R7A2020_04465	0.000	0.000
R7A2020_04470	0.076	0.050
R7A2020_04475	0.037	0.052
R7A2020_04480	0.044	0.052
R7A2020_04485	0.024	0.007
R7A2020_04485	0.024	0.007
R7A2020_04490	0.065	0.043
R7A2020_04495	0.053	0.030
R7A2020_04500	0.026	0.032
R7A2020_04505	0.000	0.000
R7A2020_04510	0.052	0.058
R7A2020_04515	0.048	0.060
R7A2020_04520	0.073	0.046
R7A2020_04525	0.044	0.057
R7A2020_04530	0.044	0.052
R7A2020_04535	0.020	0.016
R7A2020_04540	0.043	0.053
R7A2020_04545	0.005	0.002
R7A2020_04550	0.049	0.063
R7A2020_04555	0.061	0.052
R7A2020_04560	0.035	0.049
R7A2020_04565	0.057	0.062
R7A2020_04570	0.037	0.059
R7A2020_04575	0.067	0.056
R7A2020_04580	0.047	0.040
R7A2020_04585	0.065	0.067
R7A2020_04590	0.059	0.046
R7A2020_04595	0.026	0.044
R7A2020_04600	0.015	0.036
R7A2020_04605	0.050	0.008
R7A2020_04610	0.026	0.035
R7A2020_04615	0.056	0.072
R7A2020_04620	0.000	0.000
R7A2020_04625	0.048	0.037
R7A2020_04630	0.049	0.065
R7A2020_04635	0.054	0.040
R7A2020_04640	0.034	0.032
R7A2020_04645	0.028	0.028
R7A2020_04650	0.057	0.060
R7A2020_04655	0.051	0.056
R7A2020_04660	0.055	0.053
R7A2020_04665	0.074	0.068
R7A2020_04670	0.028	0.024
R7A2020_04675	0.005	0.003
R7A2020_04680	0.039	0.038
R7A2020_04685	0.000	0.000
R7A2020_04690	0.036	0.058
R7A2020_04695	0.043	0.056
R7A2020_04700	0.064	0.058
R7A2020_04705	0.011	0.017
R7A2020_04710	0.040	0.048
R7A2020_04715	0.046	0.055
R7A2020_04720	0.000	0.004
R7A2020_04725	0.003	0.001
R7A2020_04730	0.088	0.060
R7A2020_04735	0.052	0.066
R7A2020_04740	0.001	0.001
R7A2020_04745	0.000	0.000
R7A2020_04750	0.000	0.001
R7A2020_04755	0.055	0.055
R7A2020_04760	0.035	0.061
R7A2020_04765	0.051	0.053
R7A2020_04770	0.003	0.004
R7A2020_04775	0.036	0.036
R7A2020_04780	0.049	0.052
R7A2020_04785	0.052	0.054
R7A2020_04790	0.038	0.045
R7A2020_04795	0.006	0.008
R7A2020_04800	0.000	0.000
R7A2020_04805	0.053	0.034
R7A2020_04810	0.006	0.002
R7A2020_04815	0.059	0.034
R7A2020_04820	0.044	0.072
R7A2020_04825	0.075	0.060
R7A2020_04830	0.074	0.061
R7A2020_04835	0.055	0.065
R7A2020_04840	0.070	0.083
R7A2020_04845	0.058	0.055
R7A2020_04850	0.049	0.061
R7A2020_04855	0.026	0.055
R7A2020_04860	0.032	0.045
R7A2020_04865	0.008	0.008
R7A2020_04870	0.009	0.003
R7A2020_04875	0.000	0.003
R7A2020_04880	0.043	0.040
R7A2020_04885	0.003	0.003
R7A2020_04890	0.031	0.092
R7A2020_04895	0.015	0.007
R7A2020_04900	0.030	0.037
R7A2020_04905	0.049	0.054
R7A2020_04910	0.025	0.036
R7A2020_04915	0.046	0.041
R7A2020_04920	0.062	0.033
R7A2020_04925	0.044	0.051
R7A2020_04930	0.000	0.000
R7A2020_04935	0.049	0.063
R7A2020_04940	0.003	0.003
R7A2020_04945	0.062	0.059
R7A2020_04950	0.030	0.038
R7A2020_04955	0.079	0.085
R7A2020_04960	0.002	0.002
R7A2020_04965	0.000	0.000
R7A2020_04970	0.036	0.051
R7A2020_04975	0.043	0.043
R7A2020_04980	0.002	0.003
R7A2020_04985	0.045	0.059
R7A2020_04990	0.028	0.019
R7A2020_04995	0.062	0.042
R7A2020_05000	0.045	0.067
R7A2020_05005	0.050	0.054
R7A2020_05010	0.041	0.055
R7A2020_05015	0.047	0.047
R7A2020_05020	0.013	0.026
R7A2020_05020	0.013	0.026
R7A2020_05025	0.000	0.000
R7A2020_05030	0.000	0.000
R7A2020_05035	0.000	0.000
R7A2020_05040	0.048	0.052
R7A2020_05045	0.045	0.056
R7A2020_05050	0.061	0.054
R7A2020_05055	0.048	0.043
R7A2020_05060	0.023	0.027
R7A2020_05065	0.063	0.052
R7A2020_05070	0.038	0.037
R7A2020_05075	0.036	0.028
R7A2020_05080	0.042	0.045
R7A2020_05085	0.058	0.047
R7A2020_05090	0.048	0.043
R7A2020_05095	0.061	0.069
R7A2020_05100	0.044	0.067
R7A2020_05105	0.047	0.051
R7A2020_05110	0.043	0.058
R7A2020_05115	0.057	0.043
R7A2020_05120	0.043	0.052
R7A2020_05125	0.058	0.058
R7A2020_05130	0.044	0.061
R7A2020_05135	0.027	0.055
R7A2020_05140	0.084	0.074
R7A2020_05145	0.043	0.048
R7A2020_05150	0.045	0.046
R7A2020_05155	0.046	0.071
R7A2020_05160	0.050	0.054
R7A2020_05165	0.066	0.068
R7A2020_05170	0.039	0.040
R7A2020_05175	0.040	0.044
R7A2020_05180	0.058	0.054
R7A2020_05185	0.046	0.059
R7A2020_05190	0.047	0.052
R7A2020_05195	0.055	0.053
R7A2020_05200	0.052	0.064
R7A2020_05205	0.052	0.053
R7A2020_05210	0.047	0.047
R7A2020_05215	0.044	0.047
R7A2020_05220	0.049	0.050
R7A2020_05225	0.047	0.056
R7A2020_05230	0.037	0.055
R7A2020_05235	0.045	0.060
R7A2020_05240	0.034	0.050
R7A2020_05245	0.061	0.065
R7A2020_05250	0.050	0.072
R7A2020_05255	0.043	0.045
R7A2020_05260	0.032	0.046
R7A2020_05265	0.040	0.051
R7A2020_05270	0.069	0.093
R7A2020_05275	0.056	0.050
R7A2020_05280	0.042	0.050
R7A2020_05285	0.061	0.030
R7A2020_05290	0.016	0.028
R7A2020_05290	0.016	0.028
R7A2020_05295	0.049	0.060
R7A2020_05300	0.057	0.033
R7A2020_05305	0.057	0.050
R7A2020_05310	0.053	0.058
R7A2020_05315	0.052	0.059
R7A2020_05320	0.055	0.055
R7A2020_05325	0.063	0.051
R7A2020_05330	0.060	0.061
R7A2020_05335	0.083	0.054
R7A2020_05340	0.037	0.047
R7A2020_05345	0.016	0.043
R7A2020_05350	0.000	0.000
R7A2020_05355	0.049	0.070
R7A2020_05360	0.069	0.073
R7A2020_05365	0.051	0.056
R7A2020_05370	0.088	0.072
R7A2020_05375	0.052	0.041
R7A2020_05380	0.057	0.053
R7A2020_05385	0.073	0.068
R7A2020_05390	0.023	0.028
R7A2020_05395	0.000	0.000
R7A2020_05400	0.065	0.069
R7A2020_05405	0.047	0.044
R7A2020_05410	0.051	0.035
R7A2020_05415	0.050	0.055
R7A2020_05420	0.041	0.048
R7A2020_05425	0.033	0.042
R7A2020_05430	0.052	0.028
R7A2020_05435	0.029	0.016
R7A2020_05440	0.052	0.061
R7A2020_05445	0.057	0.061
R7A2020_05450	0.063	0.077
R7A2020_05455	0.046	0.050
R7A2020_05460	0.061	0.063
R7A2020_05465	0.030	0.042
R7A2020_05470	0.042	0.068
R7A2020_05475	0.048	0.049
R7A2020_05480	0.058	0.044
R7A2020_05485	0.045	0.045
R7A2020_05490	0.032	0.021
R7A2020_05495	0.065	0.062
R7A2020_05500	0.066	0.061
R7A2020_05505	0.047	0.048
R7A2020_05510	0.044	0.052
R7A2020_05515	0.042	0.044
R7A2020_05520	0.071	0.070
R7A2020_05525	0.043	0.056
R7A2020_05530	0.069	0.066
R7A2020_05535	0.065	0.063
R7A2020_05540	0.078	0.081
R7A2020_05545	0.058	0.062
R7A2020_05550	0.074	0.056
R7A2020_05555	0.067	0.067
R7A2020_05560	0.044	0.071
R7A2020_05565	0.000	0.000
R7A2020_05570	0.000	0.000
R7A2020_05575	0.068	0.061
R7A2020_05580	0.070	0.059
R7A2020_05585	0.000	0.001
R7A2020_05590	0.088	0.067
R7A2020_05595	0.038	0.071
R7A2020_05600	0.000	0.000
R7A2020_05605	0.000	0.000
R7A2020_05610	0.000	0.001
R7A2020_05615	0.000	0.000
R7A2020_05620	0.011	0.003
R7A2020_05625	0.058	0.052
R7A2020_05630	0.050	0.051
R7A2020_05635	0.048	0.050
R7A2020_05640	0.052	0.042
R7A2020_05645	0.044	0.054
R7A2020_05650	0.002	0.002
R7A2020_05655	0.059	0.061
R7A2020_05660	0.059	0.079
R7A2020_05665	0.000	0.026
R7A2020_05670	0.021	0.024
R7A2020_05675	0.000	0.000
R7A2020_05680	0.058	0.072
R7A2020_05685	0.057	0.046
R7A2020_05690	0.041	0.053
R7A2020_05695	0.000	0.000
R7A2020_05700	0.052	0.056
R7A2020_05700	0.052	0.056
R7A2020_05705	0.029	0.049
R7A2020_05710	0.000	0.000
R7A2020_05715	0.067	0.066
R7A2020_05720	0.040	0.062
R7A2020_05725	0.062	0.043
R7A2020_05730	0.066	0.054
R7A2020_05735	0.034	0.030
R7A2020_05735	0.034	0.030
R7A2020_05735	0.034	0.030
R7A2020_05740	0.002	0.000
R7A2020_05740	0.002	0.000
R7A2020_05745	0.082	0.064
R7A2020_05750	0.056	0.061
R7A2020_05755	0.069	0.065
R7A2020_05760	0.058	0.064
R7A2020_05765	0.053	0.065
R7A2020_05770	0.052	0.054
R7A2020_05775	0.057	0.058
R7A2020_05780	0.037	0.053
R7A2020_05785	0.031	0.045
R7A2020_05790	0.053	0.053
R7A2020_05795	0.019	0.023
R7A2020_05800	0.028	0.039
R7A2020_05805	0.041	0.032
R7A2020_05810	0.030	0.030
R7A2020_05815	0.044	0.032
R7A2020_05820	0.056	0.064
R7A2020_05825	0.064	0.075
R7A2020_05830	0.055	0.065
R7A2020_05835	0.048	0.070
R7A2020_05840	0.057	0.069
R7A2020_05845	0.063	0.068
R7A2020_05850	0.042	0.053
R7A2020_05855	0.067	0.047
R7A2020_05860	0.047	0.049
R7A2020_05865	0.047	0.054
R7A2020_05870	0.000	0.000
R7A2020_05875	0.036	0.044
R7A2020_05880	0.062	0.048
R7A2020_05885	0.058	0.062
R7A2020_05890	0.038	0.075
R7A2020_05895	0.051	0.049
R7A2020_05900	0.039	0.046
R7A2020_05905	0.017	0.020
R7A2020_05905	0.017	0.020
R7A2020_05910	0.042	0.030
R7A2020_05915	0.063	0.050
R7A2020_05920	0.050	0.059
R7A2020_05925	0.015	0.037
R7A2020_05925	0.015	0.037
R7A2020_05925	0.015	0.037
R7A2020_05930	0.062	0.058
R7A2020_05935	0.027	0.024
R7A2020_05940	0.038	0.050
R7A2020_05945	0.055	0.070
R7A2020_05950	0.027	0.027
R7A2020_05955	0.043	0.083
R7A2020_05960	0.036	0.031
R7A2020_05965	0.043	0.039
R7A2020_05970	0.052	0.059
R7A2020_05975	0.037	0.043
R7A2020_05980	0.006	0.004
R7A2020_05985	0.011	0.016
R7A2020_05990	0.025	0.032
R7A2020_05995	0.048	0.045
R7A2020_06000	0.058	0.053
R7A2020_06005	0.043	0.046
R7A2020_06010	0.048	0.053
R7A2020_06015	0.030	0.048
R7A2020_06020	0.060	0.069
R7A2020_06025	0.055	0.048
R7A2020_06030	0.000	0.000
R7A2020_06035	0.068	0.079
R7A2020_06040	0.066	0.070
R7A2020_06045	0.067	0.087
R7A2020_06050	0.003	0.005
R7A2020_06055	0.014	0.002
R7A2020_06060	0.058	0.084
R7A2020_06065	0.071	0.064
R7A2020_06070	0.093	0.085
R7A2020_06075	0.055	0.075
R7A2020_06080	0.062	0.068
R7A2020_06085	0.049	0.077
R7A2020_06090	0.004	0.007
R7A2020_06095	0.037	0.030
R7A2020_06100	0.022	0.017
R7A2020_06105	0.017	0.022
R7A2020_06110	0.040	0.045
R7A2020_06115	0.031	0.031
R7A2020_06120	0.062	0.069
R7A2020_06125	0.071	0.070
R7A2020_06130	0.062	0.065
R7A2020_06135	0.000	0.000
R7A2020_06140	0.003	0.000
R7A2020_06145	0.000	0.000
R7A2020_06150	0.000	0.000
R7A2020_06155	0.000	0.000
R7A2020_06160	0.020	0.030
R7A2020_06165	0.002	0.001
R7A2020_06170	0.000	0.001
R7A2020_06175	0.015	0.031
R7A2020_06180	0.048	0.033
R7A2020_06185	0.000	0.000
R7A2020_06190	0.069	0.051
R7A2020_06195	0.052	0.039
R7A2020_06200	0.016	0.011
R7A2020_06200	0.016	0.011
R7A2020_06205	0.031	0.025
R7A2020_06210	0.079	0.082
R7A2020_06215	0.000	0.000
R7A2020_06220	0.019	0.018
R7A2020_06225	0.012	0.044
R7A2020_06225	0.012	0.044
R7A2020_06230	0.042	0.056
R7A2020_06235	0.002	0.000
R7A2020_06240	0.056	0.069
R7A2020_06245	0.055	0.057
R7A2020_06250	0.056	0.085
R7A2020_06255	0.076	0.060
R7A2020_06260	0.049	0.050
R7A2020_06265	0.039	0.042
R7A2020_06270	0.045	0.062
R7A2020_06275	0.050	0.036
R7A2020_06280	0.000	0.002
R7A2020_06285	0.000	0.000
R7A2020_06290	0.064	0.076
R7A2020_06295	0.054	0.058
R7A2020_06300	0.032	0.038
R7A2020_06305	0.063	0.083
R7A2020_06310	0.034	0.044
R7A2020_06315	0.067	0.058
R7A2020_06320	0.027	0.036
R7A2020_06325	0.031	0.056
R7A2020_06330	0.072	0.061
R7A2020_06335	0.062	0.066
R7A2020_06340	0.053	0.068
R7A2020_06345	0.041	0.046
R7A2020_06350	0.037	0.047
R7A2020_06355	0.061	0.071
R7A2020_06360	0.072	0.065
R7A2020_06365	0.058	0.048
R7A2020_06370	0.052	0.074
R7A2020_06375	0.059	0.068
R7A2020_06380	0.051	0.051
R7A2020_06385	0.047	0.050
R7A2020_06390	0.040	0.057
R7A2020_06395	0.041	0.037
R7A2020_06400	0.036	0.050
R7A2020_06405	0.053	0.042
R7A2020_06410	0.059	0.079
R7A2020_06415	0.000	0.002
R7A2020_06420	0.043	0.041
R7A2020_06425	0.057	0.047
R7A2020_06430	0.059	0.062
R7A2020_06435	0.039	0.035
R7A2020_06440	0.009	0.000
R7A2020_06445	0.036	0.064
R7A2020_06450	0.035	0.058
R7A2020_06455	0.035	0.035
R7A2020_06460	0.014	0.010
R7A2020_06460	0.014	0.010
R7A2020_06465	0.070	0.076
R7A2020_06470	0.029	0.059
R7A2020_06475	0.063	0.069
R7A2020_06480	0.071	0.056
R7A2020_06485	0.058	0.068
R7A2020_06490	0.074	0.106
R7A2020_06495	0.063	0.078
R7A2020_06500	0.047	0.069
R7A2020_06505	0.065	0.074
R7A2020_06510	0.017	0.029
R7A2020_06515	0.020	0.020
R7A2020_06520	0.000	0.000
R7A2020_06525	0.038	0.037
R7A2020_06530	0.015	0.020
R7A2020_06530	0.015	0.020
R7A2020_06535	0.022	0.011
R7A2020_06535	0.022	0.011
R7A2020_06540	0.056	0.049
R7A2020_06545	0.044	0.044
R7A2020_06550	0.056	0.068
R7A2020_06555	0.057	0.055
R7A2020_06560	0.067	0.054
R7A2020_06565	0.009	0.013
R7A2020_06565	0.009	0.013
R7A2020_06570	0.056	0.065
R7A2020_06575	0.006	0.000
R7A2020_06580	0.047	0.050
R7A2020_06585	0.071	0.071
R7A2020_06590	0.040	0.040
R7A2020_06595	0.041	0.043
R7A2020_06600	0.052	0.058
R7A2020_06605	0.061	0.046
R7A2020_06610	0.035	0.066
R7A2020_06615	0.028	0.028
R7A2020_06620	0.027	0.009
R7A2020_06625	0.060	0.069
R7A2020_06630	0.048	0.060
R7A2020_06635	0.048	0.062
R7A2020_06640	0.042	0.025
R7A2020_06645	0.005	0.000
R7A2020_06650	0.036	0.033
R7A2020_06655	0.023	0.057
R7A2020_06660	0.030	0.038
R7A2020_06665	0.049	0.049
R7A2020_06670	0.058	0.071
R7A2020_06675	0.080	0.065
R7A2020_06680	0.044	0.056
R7A2020_06685	0.062	0.041
R7A2020_06690	0.052	0.054
R7A2020_06695	0.049	0.045
R7A2020_06700	0.048	0.055
R7A2020_06705	0.049	0.065
R7A2020_06710	0.000	0.000
R7A2020_06715	0.073	0.064
R7A2020_06720	0.087	0.061
R7A2020_06725	0.050	0.059
R7A2020_06730	0.047	0.056
R7A2020_06735	0.015	0.019
R7A2020_06740	0.033	0.042
R7A2020_06745	0.043	0.043
R7A2020_06750	0.046	0.049
R7A2020_06755	0.108	0.062
R7A2020_06760	0.057	0.057
R7A2020_06765	0.023	0.067
R7A2020_06770	0.049	0.056
R7A2020_06775	0.065	0.065
R7A2020_06780	0.057	0.038
R7A2020_06785	0.022	0.065
R7A2020_06790	0.059	0.079
R7A2020_06795	0.029	0.033
R7A2020_06800	0.054	0.064
R7A2020_06805	0.027	0.032
R7A2020_06810	0.033	0.029
R7A2020_06815	0.026	0.040
R7A2020_06820	0.051	0.037
R7A2020_06825	0.061	0.053
R7A2020_06830	0.000	0.000
R7A2020_06835	0.043	0.070
R7A2020_06840	0.041	0.058
R7A2020_06845	0.048	0.060
R7A2020_06850	0.046	0.058
R7A2020_06855	0.058	0.056
R7A2020_06860	0.057	0.029
R7A2020_06865	0.036	0.029
R7A2020_06870	0.046	0.053
R7A2020_06875	0.052	0.061
R7A2020_06880	0.000	0.007
R7A2020_06885	0.040	0.055
R7A2020_06890	0.006	0.011
R7A2020_06895	0.034	0.064
R7A2020_06900	0.010	0.050
R7A2020_06905	0.031	0.043
R7A2020_06910	0.047	0.039
R7A2020_06915	0.065	0.047
R7A2020_06920	0.039	0.039
R7A2020_06925	0.060	0.074
R7A2020_06930	0.046	0.038
R7A2020_06935	0.060	0.060
R7A2020_06940	0.049	0.053
R7A2020_06945	0.045	0.049
R7A2020_06950	0.066	0.053
R7A2020_06955	0.043	0.035
R7A2020_06960	0.055	0.061
R7A2020_06965	0.062	0.048
R7A2020_06970	0.057	0.049
R7A2020_06975	0.044	0.054
R7A2020_06980	0.057	0.058
R7A2020_06985	0.051	0.057
R7A2020_06990	0.055	0.034
R7A2020_06995	0.064	0.064
R7A2020_07000	0.045	0.071
R7A2020_07005	0.041	0.050
R7A2020_07010	0.048	0.058
R7A2020_07015	0.050	0.072
R7A2020_07020	0.064	0.066
R7A2020_07025	0.051	0.068
R7A2020_07030	0.036	0.051
R7A2020_07035	0.051	0.057
R7A2020_07040	0.043	0.045
R7A2020_07045	0.049	0.040
R7A2020_07050	0.055	0.074
R7A2020_07055	0.090	0.090
R7A2020_07060	0.067	0.035
R7A2020_07065	0.044	0.046
R7A2020_07070	0.057	0.054
R7A2020_07075	0.050	0.056
R7A2020_07080	0.039	0.037
R7A2020_07085	0.065	0.068
R7A2020_07090	0.060	0.083
R7A2020_07095	0.057	0.048
R7A2020_07100	0.057	0.069
R7A2020_07105	0.040	0.066
R7A2020_07110	0.057	0.057
R7A2020_07115	0.068	0.069
R7A2020_07120	0.062	0.061
R7A2020_07125	0.073	0.067
R7A2020_07130	0.057	0.056
R7A2020_07135	0.064	0.060
R7A2020_07140	0.048	0.046
R7A2020_07145	0.066	0.051
R7A2020_07150	0.038	0.060
R7A2020_07155	0.068	0.059
R7A2020_07160	0.059	0.061
R7A2020_07165	0.049	0.057
R7A2020_07170	0.046	0.052
R7A2020_07175	0.056	0.057
R7A2020_07180	0.047	0.045
R7A2020_07185	0.039	0.034
R7A2020_07190	0.038	0.038
R7A2020_07195	0.051	0.049
R7A2020_07200	0.053	0.053
R7A2020_07205	0.024	0.040
R7A2020_07210	0.045	0.048
R7A2020_07215	0.051	0.056
R7A2020_07220	0.040	0.051
R7A2020_07225	0.049	0.068
R7A2020_07230	0.054	0.063
R7A2020_07235	0.012	0.012
R7A2020_07235	0.012	0.012
R7A2020_07235	0.012	0.012
R7A2020_07240	0.027	0.046
R7A2020_07245	0.037	0.036
R7A2020_07250	0.033	0.055
R7A2020_07255	0.049	0.054
R7A2020_07260	0.063	0.059
R7A2020_07265	0.054	0.056
R7A2020_07270	0.064	0.078
R7A2020_07275	0.047	0.045
R7A2020_07280	0.064	0.067
R7A2020_07285	0.043	0.056
R7A2020_07290	0.026	0.042
R7A2020_07295	0.033	0.076
R7A2020_07300	0.033	0.041
R7A2020_07305	0.043	0.051
R7A2020_07310	0.056	0.064
R7A2020_07315	0.046	0.053
R7A2020_07320	0.057	0.059
R7A2020_07325	0.057	0.057
R7A2020_07330	0.058	0.065
R7A2020_07335	0.067	0.078
R7A2020_07340	0.044	0.045
R7A2020_07345	0.035	0.032
R7A2020_07350	0.031	0.033
R7A2020_07355	0.044	0.057
R7A2020_07360	0.000	0.000
R7A2020_07365	0.035	0.047
R7A2020_07370	0.040	0.050
R7A2020_07375	0.043	0.044
R7A2020_07380	0.049	0.029
R7A2020_07385	0.059	0.057
R7A2020_07390	0.000	0.000
R7A2020_07395	0.045	0.050
R7A2020_07400	0.031	0.023
R7A2020_07405	0.061	0.071
R7A2020_07410	0.019	0.030
R7A2020_07410	0.019	0.030
R7A2020_07410	0.019	0.030
R7A2020_07415	0.063	0.075
R7A2020_07420	0.062	0.063
R7A2020_07425	0.063	0.079
R7A2020_07430	0.062	0.047
R7A2020_07435	0.032	0.039
R7A2020_07440	0.000	0.000
R7A2020_07445	0.059	0.039
R7A2020_07450	0.001	0.001
R7A2020_07455	0.038	0.039
R7A2020_07460	0.019	0.035
R7A2020_07465	0.029	0.039
R7A2020_07470	0.050	0.043
R7A2020_07475	0.055	0.058
R7A2020_07480	0.059	0.069
R7A2020_07485	0.036	0.028
R7A2020_07490	0.000	0.000
R7A2020_07495	0.070	0.054
R7A2020_07500	0.058	0.080
R7A2020_07505	0.056	0.042
R7A2020_07510	0.052	0.039
R7A2020_07515	0.046	0.049
R7A2020_07520	0.045	0.055
R7A2020_07525	0.059	0.065
R7A2020_07530	0.064	0.064
R7A2020_07535	0.048	0.022
R7A2020_07540	0.004	0.002
R7A2020_07545	0.002	0.002
R7A2020_07550	0.030	0.037
R7A2020_07555	0.067	0.051
R7A2020_07560	0.059	0.067
R7A2020_07565	0.030	0.038
R7A2020_07570	0.074	0.051
R7A2020_07575	0.055	0.058
R7A2020_07580	0.064	0.054
R7A2020_07585	0.000	0.000
R7A2020_07590	0.047	0.057
R7A2020_07595	0.040	0.035
R7A2020_07600	0.074	0.071
R7A2020_07605	0.037	0.032
R7A2020_07610	0.043	0.031
R7A2020_07615	0.039	0.023
R7A2020_07615	0.039	0.023
R7A2020_07615	0.039	0.023
R7A2020_07620	0.056	0.060
R7A2020_07625	0.030	0.043
R7A2020_07630	0.047	0.047
R7A2020_07635	0.047	0.062
R7A2020_07640	0.050	0.046
R7A2020_07645	0.054	0.057
R7A2020_07650	0.057	0.046
R7A2020_07655	0.062	0.062
R7A2020_07660	0.074	0.039
R7A2020_07665	0.032	0.033
R7A2020_07670	0.011	0.052
R7A2020_07675	0.000	0.001
R7A2020_07680	0.036	0.041
R7A2020_07685	0.055	0.048
R7A2020_07690	0.051	0.048
R7A2020_07695	0.058	0.058
R7A2020_07700	0.045	0.054
R7A2020_07705	0.041	0.052
R7A2020_07710	0.007	0.002
R7A2020_07710	0.007	0.002
R7A2020_07715	0.002	0.002
R7A2020_07715	0.002	0.002
R7A2020_07720	0.005	0.002
R7A2020_07720	0.005	0.002
R7A2020_07725	0.047	0.060
R7A2020_07730	0.050	0.042
R7A2020_07735	0.047	0.046
R7A2020_07740	0.045	0.051
R7A2020_07745	0.001	0.004
R7A2020_07745	0.001	0.004
R7A2020_07745	0.001	0.004
R7A2020_07750	0.002	0.002
R7A2020_07755	0.081	0.069
R7A2020_07760	0.012	0.006
R7A2020_07765	0.049	0.079
R7A2020_07770	0.065	0.064
R7A2020_07775	0.052	0.061
R7A2020_07780	0.048	0.046
R7A2020_07785	0.058	0.059
R7A2020_07790	0.073	0.068
R7A2020_07795	0.078	0.053
R7A2020_07800	0.009	0.011
R7A2020_07800	0.009	0.011
R7A2020_07800	0.009	0.011
R7A2020_07805	0.040	0.042
R7A2020_07810	0.000	0.000
R7A2020_07815	0.057	0.063
R7A2020_07820	0.052	0.064
R7A2020_07825	0.072	0.054
R7A2020_07830	0.056	0.071
R7A2020_07835	0.000	0.000
R7A2020_07840	0.068	0.046
R7A2020_07845	0.045	0.035
R7A2020_07850	0.078	0.072
R7A2020_07855	0.066	0.068
R7A2020_07860	0.040	0.049
R7A2020_07865	0.072	0.042
R7A2020_07870	0.058	0.028
R7A2020_07875	0.051	0.048
R7A2020_07880	0.013	0.059
R7A2020_07885	0.000	0.000
R7A2020_07890	0.059	0.054
R7A2020_07895	0.030	0.039
R7A2020_07900	0.048	0.044
R7A2020_07905	0.061	0.052
R7A2020_07910	0.056	0.080
R7A2020_07915	0.068	0.052
R7A2020_07920	0.051	0.043
R7A2020_07925	0.054	0.056
R7A2020_07930	0.054	0.033
R7A2020_07935	0.000	0.000
R7A2020_07940	0.064	0.062
R7A2020_07945	0.077	0.068
R7A2020_07950	0.023	0.014
